Instrument,Spot,Sample,Label,Type,Min,Ca_per,Mg_per,Sr_ppm,Fe_ppm,Mn_ppm,S_per,Formation,Generation
MIT,2,KDW_69.9,S,sediment,DL,20.83338445,12.63975784,0,1074.241273,0,,Khufai,1
MIT,3,KDW_69.9,S,sediment,DL,19.73989978,11.74122544,0,1192.392267,63.50587141,,Khufai,1
MIT,4,KDW_69.9,S,sediment,DL,21.80537083,12.82670082,0,855.817396,0,,Khufai,1
MIT,5,KDW_69.9,S,sediment,DL,20.44744869,12.8206704,0,1280.228203,47.24217263,,Khufai,1
MIT,6,KDW_69.9,S,sediment,DL,22.30565793,12.77242705,31.28711916,2189.679932,0,,Khufai,1
MIT,7,SB1_59,MC,Cement,CA,40.65190078,0.68378919,39.74309731,0,0,,BuahBirba,2
MIT,8,SB1_59,S,sediment,DL,19.86854504,11.07787937,0,206.7642392,15.48923693,,BuahBirba,1
MIT,9,SB1_59,S,sediment,DL,21.54093336,13.0437959,0,0,0,,BuahBirba,1
MIT,10,SB1_59,MC,Cement,CA,38.86516112,0.557210699,235.0761926,219.9784951,0,,BuahBirba,2
MIT,11,SB1_59,S,sediment,DL,22.11983701,12.66387952,0,0,0,,BuahBirba,1
MIT,12,SB1_59,S,sediment,DL,22.16271876,13.00158297,0,882.2459078,0,,BuahBirba,1
MIT,13,SB1_59,S,sediment,DL,21.48375769,12.96540046,0,409.6419325,893.7289708,,BuahBirba,1
MIT,14,SB1_138,S,sediment,DL,21.37655331,12.40457151,0,0,0,,BuahBirba,1
MIT,15,SB1_138,S,sediment,DL,19.9614555,11.73519502,0,2679.384709,0,,BuahBirba,1
MIT,16,SB1_138,S,sediment,DL,21.62669686,12.76036622,0,652.9397027,0,,BuahBirba,1
MIT,17,SB1_138,S,sediment,DL,21.41943506,12.88097459,0,0,78.22064649,,BuahBirba,1
MIT,18,SB1_138,S,sediment,DL,20.30450951,12.92318752,0,0,1973.328785,,BuahBirba,1
MIT,19,SB1_138,S,sediment,DL,20.27592168,12.71815329,0,2882.262402,375.6139955,,BuahBirba,1
MIT,20,SB1_138,MC,Cement,CA,35.77767498,1.628213081,0,407.310005,0,,BuahBirba,1
MIT,21,BD1_Zebra_70m,S,sediment,CA,34.88430515,4.263506104,0,467.1628111,0,,CementBurial,1
MIT,22,BD1_Zebra_70m,BC1,Cement,DL,21.92686913,12.19350685,0,0,109.1991203,,CementBurial,2
MIT,23,BD1_Zebra_70m,BC1,Cement,DL,23.14899905,11.24673109,0,0,93.70988342,,CementBurial,2
MIT,24,BD1_Zebra_70m,BC2,Cement,CA,40.06585017,0.239287019,0,95.60902789,0,,CementBurial,3
MIT,25,BD1_Zebra_70m,BC2,Cement,CA,40.43034506,0.136769899,0,94.83171872,0,,CementBurial,3
MIT,26,BD1_Zebra_70m,BC1,Cement,DL,24.19245502,10.55323293,0,0,0,,CementBurial,2
MIT,27,BD1_Zebra_70m,BC1,Cement,DL,23.3133791,11.42764366,0,4268.204652,422.0817063,,CementBurial,2
MIT,28,MDE_BKff,MC1,sediment,CA,40.57328423,0.370147107,0,832.4981209,0,,Cement,1
MIT,29,MDE_BKff,MC2,Cement,CA,40.93777913,0.095160009,0,161.6803073,0,,Cement,2
MIT,30,MDE_BKff,MC2,Cement,CA,41.38089056,0.118678642,0,352.121054,202.9090038,,Cement,2
MIT,31,MDE_BKff,MC2,Cement,CA,41.52382973,0.207386103,0,98.71826457,0,,Cement,2
MIT,33,MDE_BKff,S,sediment,CA,38.41490272,0.301520941,0,1135.648697,655.9691839,,Cement,1
MIT,34,MDE_78,S,sediment,DL,22.29851098,12.48296695,0,0,109.1991203,,CementBurial,1
MIT,35,MDE_78,S,sediment,DL,21.48375769,12.47090611,0,3081.253549,656.7436458,,CementBurial,1
MIT,36,MDE_78,S,sediment,DL,21.56952119,13.12822176,0,0,30.97847386,,CementBurial,1
MIT,37,MDE_78,BC,Cement,CA,39.60129786,0.068867383,0,205.2096208,0,,CementBurial,2
MIT,38,MDE_78,BC,Cement,CA,38.42204968,0.036242817,0,216.0919492,0,,CementBurial,2
MIT,39,MDE_78,S,sediment,DL,21.81251779,12.38044983,0,3033.83769,500.3023528,,CementBurial,1
MIT,40,MDE_78,BC,Cement,CA,39.72279616,0.06796282,0,282.9405378,296.6188872,,CementBurial,2
