Instrument,Spot,Sample,Label,Type,Min,Ca_per,Mg_per,Sr_ppm,Fe_ppm,Mn_ppm,S_per,Formation,Generation
Caltech,240,MDE_173_6_G1,BC,cement,CA,41.67,0.239,0,424.8,1559,0.016,Shuram,3
Caltech,241,MDE_173_6_G1,BC,cement,CA,41.873,0.392,716.66,608.34,1284.55,0,Shuram,3
Caltech,242,MDE_173_6_G1,BC,cement,CA,41.731,0.382,0,710.36,939.12,0.014,Shuram,3
Caltech,243,MDE_173_6_G1,BC,cement,CA,41.777,0.346,0,583.78,1099.11,0.014,Shuram,3
Caltech,244,MDE_173_6_G1,BC,cement,CA,41.746,0.324,0,628.99,1445.13,0,Shuram,3
Caltech,245,MDE_173_6_G1,BC,cement,CA,41.099,0.455,0,355.5,1344.52,0,Shuram,3
Caltech,257,MDE_173_6_H1,BC,cement,CA,41.02,0.066,0,427.57,1785.19,0.012,Shuram,3
Caltech,258,MDE_173_6_H1,BC,cement,CA,41.991,0.212,0,0,2481.14,0,Shuram,3
Caltech,259,MDE_173_6_H1,BC,cement,CA,39.625,0.179,0,622.55,1254.77,0.011,Shuram,3
Caltech,260,MDE_173_6_H1,BC,cement,CA,40.756,0.236,0,750.03,2867.53,0,Shuram,3
Caltech,261,MDE_173_6_H1,BC,cement,CA,40.78,0.164,0,1858,2813.64,0.02,Shuram,3
Caltech,263,MDE_173_6_H1,BC,cement,CA,40.147,0.261,0,2560.81,5328.92,0,Shuram,3
Caltech,264,MDE_173_6_H1,BC,cement,CA,41.414,0.393,0,629.41,1108.77,0.019,Shuram,3
Caltech,265,MDE_173_6_H1,BC,cement,CA,41.633,0.164,0,383.78,1170.81,0,Shuram,3
Caltech,276,MDE_173_6_H1,BC,cement,CA,41.992,0.178,0,0,1022.19,0.01,Shuram,3
Caltech,277,MDE_173_6_H1,BC,cement,CA,42.091,0.141,0,325.86,1323.6,0,Shuram,3
Caltech,278,MDE_173_6_H1,BC,cement,CA,41.365,0.092,613.2,0,857.96,0,Shuram,3
Caltech,279,MDE_173_6_H1,BC,cement,CA,41.116,0.099,656.33,0,681.37,0,Shuram,3
Caltech,280,MDE_173_6_H1,BC,cement,CA,41.779,0.122,0,0,1034.58,0,Shuram,3
Caltech,281,MDE_173_6_H1,BC,cement,CA,40.961,0.045,0,0,946.28,0,Shuram,3
Caltech,282,MDE_173_6_H1,BC,cement,CA,41.759,0.068,0,0,736.06,0,Shuram,3
Caltech,283,MDE_173_6_H1,BC,cement,CA,41.284,0.205,0,383.23,1703.2,0,Shuram,3
Caltech,284,MDE_173_6_H1,BC,cement,CA,41.425,0.105,834.45,0,686.01,0,Shuram,3
Caltech,285,MDE_173_6_H1,BC,cement,CA,40.842,0.036,755.78,0,728.77,0,Shuram,3
Caltech,218,MD6_S2,PC,pink,CA,42.347,0.384,0,610.67,7198.95,0.021,Shuram,2
Caltech,219,MD6_S2,PC,pink,CA,42.238,0.421,0,455.56,10155.53,0,Shuram,2
Caltech,220,MD6_S2,PC,pink,CA,42.329,0.355,0,496.66,7967.35,0.012,Shuram,2
Caltech,221,MD6_S2,PC,pink,CA,40.583,0.442,0,1513.77,9150.69,0,Shuram,2
Caltech,222,MD6_S2,PC,pink,CA,41,0.33,0,1119.32,7587.09,0.017,Shuram,2
Caltech,223,MD6_S2,PC,pink,CA,41.913,0.434,0,609.35,9287.23,0,Shuram,2
Caltech,224,MD6_S2,PC,pink,CA,40.988,0.267,0,0,6367.91,0,Shuram,2
Caltech,225,MD6_S2,PC,pink,CA,42.347,0.326,0,374.65,5108.54,0.012,Shuram,2
Caltech,35,WS 7_7_H1,Oo,ooid,CA,40.553,0.489,0,1283.97,913.88,0.054,Shuram,1
Caltech,36,WS 7_7_H1,Oo,ooid,CA,40.819,0.475,0,1008.58,993.76,0.018,Shuram,1
Caltech,37,WS 7_7_H1,Oo,ooid,CA,39.405,0.441,0,3239.97,862.8,0.047,Shuram,1
Caltech,38,WS 7_7_H1,Oo,ooid,CA,40.047,0.742,0,1021.21,0,0.072,Shuram,1
Caltech,39,WS 7_7_H1,Oo,ooid,CA,39.166,0.583,927.45,3488.78,443.9,0.057,Shuram,1
