2	6	2	3	0	9	4	6	12	6	4	6	5	6	2	3	4	1	2	2	3	3	7	5	2	6	8	5	15	2	7	12	13	6	6	3	4	7	7	10	7	17	8	3	1	11	4	3	11	9	3	6	5	7	4	2	8	4	5	4	4	2	5	2	3	9	8	2	2	2	6	4	7	4	1	8	3	3	4	3	4	0	5	7	3	2	4	3	3	5	5	6	4	2	3	5	9	6	4	7	1	4	2	3	8	3	3	6	2	1	3	4	14	8	1	3	3	311	471	437	55	13	6	13	8	10	8	5	13	11	11	9	13	8	3	7	10	11	5	10	3	9	2	5	5	5	9	9	8	8	10	2	5	5	10	9	4	10	10	6	14	10	9	4	8	10	3	11	16	10	8	12	7	6	8	4	5	16	11	7	7	2	6	7	2	12	7	9	9	3	8	3	1	3	6	5	4	4	3	4	5	6	1	3	4	6	2	2	5	3	7	4	3	7	8	4	4	3	2	4	4	2	1	3	3	6	10	1	3	3	4	7	4	5	8	5	5	4	7	2	7	3	8	6	7	4	0	5	4	3	3	3	3	3	6	1	6	9	8	3	2	6	10	11	3	2	3	5	4	10	4	7	10	11	47	43	3	2	4	5	4	4	3	2	4	4	8	4	2	3	8	4	4	12	8	7	8	6	7	11	4	4	5	0	7	11	10	6	7	7	42	10	5	10	14	10	9	5	11	9	7	11	9	5	5	14	7	13	9	3	4	14	9	8	3	14	9	5	8	12	6	6	7	9	7	11	6	9	5	7	5	7	7	9	8	9	8	7	7	9	6	6	6	4	8	3	6	8	3	3	2	7	2	5	6	7	6	6	1	6	7	6	89	301	193	11	4	5	3	9	12	3	17	3	5	9	2	4	7	10
7	3	3	7	2	5	2	16	2	9	3	5	5	4	8	4	3	5	4	7	2	4	4	15	3	8	5	13	5	11	3	2	4	4	9	4	11	9	7	4	7	7	4	3	5	10	2	5	8	7	11	5	12	4	2	2	6	4	4	3	0	6	9	6	5	2	2	3	6	7	3	8	3	3	0	9	3	1	7	2	4	4	7	0	3	4	2	4	4	4	5	3	4	4	2	9	5	3	4	0	3	0	3	2	3	2	4	3	3	5	2	4	9	2	6	2	5	444	629	358	8	5	11	7	8	14	5	9	7	23	3	6	4	5	7	4	7	8	14	11	4	11	5	3	7	5	5	4	9	6	10	12	8	9	8	5	8	12	15	8	11	6	5	13	12	8	5	11	4	8	6	6	4	7	10	4	3	3	5	6	4	6	5	8	24	3	10	2	8	4	7	21	7	2	6	4	5	3	5	7	5	3	2	4	2	3	9	4	4	3	1	9	5	6	1	3	9	2	4	4	4	5	3	1	4	4	3	7	4	10	5	2	6	4	4	2	4	3	3	5	3	1	4	6	7	5	5	6	2	7	5	5	6	1	3	5	2	3	3	1	8	5	7	4	4	2	19	5	5	2	5	20	18	6	5	5	5	3	10	7	6	3	6	6	5	4	6	7	3	3	8	3	9	10	9	4	10	8	4	10	14	2	9	6	5	3	9	6	4	2	13	10	10	4	7	10	9	6	10	3	5	7	3	4	6	11	1	14	11	5	5	4	6	8	6	9	17	3	8	3	7	5	12	11	4	5	4	5	15	7	10	7	13	2	8	11	6	10	6	4	13	9	12	14	9	8	6	1	9	3	4	4	9	9	111	89	5	4	10	10	24	52	310	202	6	2	7	5	7	4	13	4	6	7	3	5	9	4	8	5
7	5	4	3	1	7	7	4	4	3	8	2	3	1	11	6	4	4	5	1	4	3	2	4	5	6	3	4	18	3	4	0	4	3	3	5	4	5	1	6	3	4	4	5	3	3	12	6	12	4	6	6	2	5	8	1	10	4	1	3	6	5	4	7	3	3	3	6	3	4	6	5	2	7	3	5	6	6	4	2	6	6	6	4	2	4	4	7	2	2	3	8	3	6	6	7	5	3	7	2	4	5	6	6	2	2	5	3	4	4	1	5	5	3	1	2	27	460	439	251	16	12	6	10	8	8	10	5	9	9	7	7	8	6	3	8	11	4	11	12	2	7	3	3	13	4	6	3	25	16	68	9	5	6	3	5	10	7	7	10	2	6	5	3	3	7	4	4	5	10	10	7	2	8	2	1	10	5	6	7	6	12	7	2	11	3	8	6	4	5	8	9	7	5	5	3	6	3	3	4	3	4	3	1	5	7	4	3	2	2	3	10	5	9	6	5	4	2	5	3	2	3	5	7	2	3	3	7	4	6	4	4	3	7	4	5	5	3	3	4	10	4	4	3	2	6	3	4	2	7	4	5	3	6	1	7	4	6	7	6	3	8	7	10	5	5	3	2	3	85	5	3	8	8	2	9	6	5	5	4	29	12	3	2	4	6	6	6	6	4	2	2	2	8	16	5	5	10	11	7	20	13	8	11	5	9	5	8	9	5	8	7	5	6	4	8	6	15	9	5	3	8	9	15	11	6	4	7	3	11	7	12	1	4	5	12	6	11	16	4	5	6	14	6	6	10	4	12	9	16	5	10	3	12	6	2	9	6	9	5	4	10	3	3	19	12	8	5	3	1	4	9	7	29	4	8	8	6	2	6	8	248	43	7	9	11	8	9	3	9	14	8	7	4	2	5	3	3	9	4
4	6	3	4	6	6	4	2	9	2	4	5	2	5	4	4	6	2	1	5	5	3	6	2	3	4	9	3	5	5	10	3	2	2	4	4	4	5	4	7	6	4	6	4	4	3	2	6	4	4	5	4	4	5	3	7	7	3	3	4	2	6	0	4	2	4	7	5	8	3	4	3	1	2	8	4	6	2	8	5	5	4	6	5	6	5	9	3	8	4	5	5	4	3	4	4	4	4	4	3	3	5	2	5	5	4	6	6	1	1	2	7	5	8	6	6	15	158	184	92	10	11	8	5	7	4	4	8	15	10	5	9	3	9	7	4	24	8	8	5	1	1	9	8	6	7	14	9	6	9	6	6	8	7	5	5	6	7	9	4	10	7	6	5	12	9	8	7	19	3	6	3	11	3	12	8	7	8	9	4	6	3	2	4	7	8	10	9	7	9	17	8	3	3	4	3	3	1	1	4	8	7	7	2	8	3	2	4	6	3	2	2	3	5	1	5	5	7	1	1	5	7	4	5	3	6	6	7	8	8	4	3	5	4	3	7	4	5	5	4	3	4	6	6	5	4	2	1	2	0	3	2	3	5	6	4	10	3	7	5	10	5	8	7	3	6	6	4	6	6	6	5	3	4	15	11	4	6	2	2	8	4	9	4	2	5	15	1	4	6	4	4	7	3	9	2	5	13	6	9	13	5	7	6	13	7	10	6	10	9	2	3	4	3	8	4	103	20	7	9	8	14	2	7	3	5	7	18	6	5	8	2	15	8	5	13	4	10	12	15	7	5	9	3	7	5	3	6	9	18	4	6	3	1	9	10	7	18	6	5	4	3	5	7	4	2	4	6	7	2	2	7	8	1	3	2	1	8	5	6	153	95	7	5	8	16	8	3	3	4	3	19	10	5	9	18	5	1	12	2
2	3	4	2	4	5	3	6	5	6	6	8	16	8	5	4	5	1	4	5	4	3	2	4	6	6	5	5	7	13	3	5	32	4	2	4	5	4	5	6	4	3	6	4	8	3	4	1	5	4	7	5	6	6	3	8	3	10	6	0	1	5	5	4	4	2	6	1	2	6	5	4	4	4	4	5	6	3	1	3	4	3	2	5	5	6	2	3	6	2	6	4	3	5	7	4	5	2	2	4	4	4	4	4	7	4	4	4	7	2	3	3	4	8	9	7	2	4	4	5	6	8	8	2	7	6	4	7	3	6	7	6	11	14	5	6	2	10	9	2	6	5	15	24	17	6	4	12	8	12	9	4	7	11	8	9	9	6	6	5	5	3	7	4	10	9	15	8	6	9	8	22	16	8	6	8	7	5	10	7	10	3	8	5	4	11	5	4	9	10	11	9	5	5	5	1	5	5	7	1	2	3	3	2	2	6	4	2	9	3	9	3	0	5	1	9	4	2	4	2	4	5	4	1	4	4	1	5	4	4	5	2	4	4	5	2	7	4	6	5	4	5	3	2	4	4	1	3	3	3	3	2	4	1	2	3	6	3	4	4	4	4	6	19	3	5	6	7	6	7	2	9	3	6	11	10	6	3	20	8	4	8	89	126	87	10	4	6	6	1	4	4	6	6	2	2	7	7	8	3	16	6	10	4	6	7	1	14	3	7	4	6	3	8	6	9	7	12	7	12	5	6	7	22	3	6	5	13	13	10	12	13	10	11	9	3	18	11	9	7	11	12	11	2	13	5	14	6	8	5	9	3	5	5	8	9	2	5	6	8	5	6	6	6	7	1	5	9	6	4	3	4	8	1	2	2	4	2	1	1	21	5	4	6	3	5	2	5	3	8	11	10	13	4	7	8	10	10	10	6
7	2	4	4	5	3	6	5	6	4	3	8	6	4	3	2	3	8	8	8	2	7	8	5	2	2	5	4	4	5	2	7	5	4	5	5	5	4	2	5	5	10	4	2	4	5	7	1	6	9	3	10	4	1	2	7	5	2	5	3	6	2	5	4	4	5	4	2	4	6	3	4	7	4	6	6	4	6	6	7	5	6	6	6	8	0	4	6	2	7	5	7	6	2	6	5	2	6	4	2	2	6	8	3	1	7	3	1	2	2	6	2	4	4	6	6	6	8	4	3	5	13	6	5	6	13	11	4	6	6	10	9	2	10	5	12	8	5	10	3	4	26	23	5	21	4	11	28	8	8	8	7	2	7	39	45	8	8	4	15	6	9	6	12	5	6	6	7	4	16	5	8	5	8	2	8	9	7	4	5	4	10	14	40	4	4	11	17	6	9	3	6	17	7	11	4	5	4	4	1	5	5	2	4	3	2	3	7	6	8	4	5	2	10	1	6	4	2	0	7	4	2	5	4	4	3	3	4	4	4	3	3	3	6	2	5	6	4	3	2	4	4	1	5	3	7	4	1	6	2	5	4	4	6	2	7	3	6	8	5	3	2	5	4	16	7	5	5	2	7	11	4	6	8	8	3	2	4	22	8	7	5	60	315	345	314	73	5	6	5	10	3	5	6	9	5	9	8	3	6	7	8	6	17	6	9	11	14	15	7	4	3	32	4	5	8	4	6	5	6	4	8	5	3	2	8	7	8	10	5	11	9	7	13	7	6	6	5	4	5	5	7	4	18	6	5	4	6	9	2	6	13	1	3	3	8	7	8	8	8	5	4	17	6	4	5	7	5	4	6	3	7	3	5	2	4	3	3	8	6	5	5	6	5	6	8	5	8	7	7	9	4	17	19	10	6	12	10	5	17
6	4	4	3	6	6	1	5	1	6	7	7	6	7	5	5	4	5	1	5	3	4	4	4	3	3	2	6	4	2	3	1	6	1	9	4	4	3	7	6	22	6	4	5	1	2	2	4	5	4	2	15	2	3	9	6	6	5	1	3	2	6	1	3	4	5	6	2	2	3	1	2	5	1	3	5	3	5	5	5	1	7	7	8	4	3	6	3	3	3	3	1	8	4	4	6	6	3	4	5	4	5	3	1	4	4	4	7	1	1	2	3	3	6	7	4	9	5	10	7	8	7	7	7	5	2	7	5	8	3	14	8	5	8	2	6	6	5	12	5	5	6	7	5	11	10	2	4	7	6	20	11	6	10	7	7	6	1	4	17	19	5	8	6	13	10	6	6	7	9	6	6	7	4	4	8	7	11	2	13	7	5	9	9	6	10	6	9	12	6	8	12	11	4	8	5	2	2	3	1	2	4	2	4	6	3	5	6	2	4	6	6	3	6	6	7	3	6	3	11	9	7	4	5	3	1	2	6	2	4	5	5	5	4	3	3	4	8	2	1	3	7	2	6	3	6	6	7	7	3	9	4	6	4	1	2	6	8	1	5	6	5	3	3	2	10	5	2	4	4	4	2	3	7	6	5	3	6	1	7	9	4	1	41	248	350	376	162	6	3	7	3	8	6	3	15	3	8	8	6	8	5	8	11	15	21	6	5	8	10	11	9	10	7	2	7	9	6	5	7	5	9	4	2	8	10	5	4	3	2	5	4	7	10	6	4	11	5	20	59	7	10	4	9	7	3	1	4	6	6	6	5	9	7	11	4	9	7	6	18	5	6	11	1	8	6	5	2	5	4	3	4	4	3	3	3	8	2	5	8	8	5	2	6	7	3	3	8	5	2	2	6	7	8	11	13	13	30	32	14
5	4	5	5	6	13	8	6	2	4	3	4	5	0	5	4	9	6	7	3	2	4	5	6	2	2	4	2	3	2	6	4	11	3	8	2	6	5	5	6	213	82	2	3	2	7	4	5	4	5	5	1	9	6	7	4	7	5	4	3	4	4	2	5	6	4	4	2	3	2	2	3	3	2	4	4	4	3	7	4	4	2	2	7	5	5	3	2	3	2	4	4	4	5	1	7	6	2	6	2	5	5	4	6	4	5	5	6	2	4	3	3	4	22	38	9	6	15	5	3	4	11	7	5	6	8	13	5	7	9	30	4	7	4	12	16	9	8	3	4	8	8	6	9	9	5	5	6	5	5	12	14	5	8	6	3	10	9	5	16	8	7	4	8	9	5	4	4	10	3	7	5	6	10	13	8	8	13	8	5	6	5	10	4	3	11	12	6	5	8	6	6	13	9	7	9	4	2	3	1	1	8	7	5	5	3	2	6	7	8	6	1	3	3	5	5	3	4	4	4	5	3	2	4	4	2	4	3	1	5	3	6	5	2	5	1	4	4	3	7	3	0	6	6	6	5	3	5	7	5	6	1	1	7	3	5	4	1	4	7	5	2	1	5	3	5	4	9	5	5	5	7	6	5	7	6	1	3	6	5	4	6	7	6	59	350	335	328	52	9	8	7	5	4	8	4	8	8	7	4	8	3	9	5	9	6	5	7	4	7	12	7	8	6	7	8	8	7	3	12	10	21	5	6	4	4	5	7	8	4	6	6	3	18	2	9	3	3	8	10	5	7	6	2	10	9	5	8	5	6	5	2	7	10	5	6	7	6	9	1	9	14	8	4	6	3	4	6	3	2	2	5	8	7	5	7	6	7	3	7	2	3	3	4	4	4	7	6	14	11	5	4	6	17	5	19	16	19	14	9
4	6	5	20	57	22	5	9	4	4	3	7	10	2	4	4	5	5	1	7	4	6	5	7	4	2	4	4	5	5	3	1	7	6	3	3	2	1	3	2	3	4	3	4	3	1	5	2	4	4	3	5	6	3	4	10	3	5	9	3	4	8	4	6	2	4	5	2	5	4	0	6	5	5	2	2	2	1	0	3	5	5	4	6	0	5	6	5	6	7	6	4	4	7	4	3	5	3	10	1	6	6	4	5	3	3	2	0	5	1	4	3	3	3	11	3	6	13	5	9	3	10	7	5	12	4	6	12	6	9	7	6	9	10	5	9	5	7	14	11	7	8	3	9	5	11	8	13	5	5	14	4	5	11	8	6	14	6	6	4	5	2	6	5	22	6	5	10	7	9	7	12	4	11	7	13	5	4	10	7	9	8	5	4	4	4	4	6	5	2	5	4	5	5	13	9	6	5	4	5	7	4	6	1	4	6	5	6	9	1	6	2	10	9	2	1	7	1	6	5	2	1	4	5	5	3	1	8	2	5	6	7	3	3	3	3	2	5	1	5	5	5	6	6	5	12	5	10	4	3	4	4	2	4	3	2	4	2	4	8	5	2	6	4	5	31	13	10	8	3	6	4	0	4	6	6	24	8	26	7	6	4	5	10	10	101	319	316	221	18	5	3	4	3	7	5	3	4	8	10	7	2	2	5	4	4	10	5	8	10	5	11	16	8	7	11	7	7	6	8	4	1	3	7	4	11	12	9	5	4	8	6	10	4	7	5	7	4	7	8	1	6	22	6	6	11	8	4	4	3	7	7	6	5	6	5	8	5	6	9	9	3	4	5	6	3	2	2	5	7	0	3	7	3	6	8	5	6	3	2	7	9	4	6	4	16	4	18	5	5	6	9	7	5	3	22	16	13	10	10
4	7	6	51	53	13	18	18	55	25	18	5	3	2	6	3	1	4	6	6	1	5	2	4	3	3	6	3	4	11	5	6	1	3	2	4	8	3	2	1	2	4	3	4	6	2	2	1	7	5	6	1	5	4	3	5	1	5	5	2	6	1	6	2	5	6	4	5	7	3	7	3	1	5	6	3	2	4	3	2	3	3	3	1	7	2	3	5	2	7	2	2	6	3	5	3	4	3	5	5	2	12	7	6	7	3	4	5	4	6	2	6	5	7	7	7	5	6	5	4	10	11	8	3	5	9	2	6	11	8	2	7	14	11	6	5	9	7	9	1	7	11	6	4	12	4	11	10	2	9	6	3	10	3	7	4	5	3	6	6	2	3	8	6	5	7	18	4	4	9	7	8	4	5	4	5	7	9	7	9	9	5	6	2	7	3	4	9	6	4	8	9	10	10	14	7	7	4	8	4	3	2	7	4	2	7	1	2	8	2	3	6	1	4	4	5	4	5	3	5	4	6	7	3	0	5	2	4	2	6	4	2	5	2	2	6	9	3	2	5	9	5	3	1	4	3	4	7	5	4	2	4	2	2	4	3	7	5	5	4	3	5	2	4	3	4	9	4	2	3	1	7	2	7	8	9	2	3	3	17	13	17	28	6	10	7	11	184	355	146	8	17	22	8	13	10	6	6	10	12	5	4	11	5	9	4	8	2	4	8	11	10	8	10	5	5	7	9	6	8	5	11	7	12	3	4	16	14	7	7	19	14	4	7	7	4	11	3	8	3	4	11	7	9	5	6	10	4	10	8	5	9	3	5	10	4	5	8	14	11	5	3	6	6	3	2	5	4	2	5	1	5	2	4	8	4	12	13	8	2	6	25	14	11	6	4	7	27	12	7	11	14	9	9	6	6	6	7	6	8
