Sample,Location,Country_Min,Formation,N,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SE_2,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,D48_SD,D48_95_CL,Mineralogy,Type,Form_T,err_Form_T,Calibration,Author,ordering_ratio,Mg,alt_Sample,Counter,Location,Country_Min,Formation,T_Petersen,d47_VPDB,d18Ow_VSMOW_MK77,d18Ow_VSMOW_MK77_upper,d18Ow_VSMOW_MK77_lower,d18Ow_VSMOW_H14,d18Ow_VSMOW_H14_upper,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_V05,d18Ow_VSMOW_V05_upper,d18Ow_VSMOW_V05_lower,d18Ow_VSMOW_KON97,d18Ow_VSMOW_KON97_upper,d18Ow_VSMOW_KON97_lower,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21_upper,d18Ow_VSMOW_A21_lower
WS4_54.4_A,Oman,Oman_DL,BuahBirba,5,90.7,2.91,1.516062505,2.8,1.2,1.1,2.3,2.3,2.3,2.3,0.5564,0.0144,0.0288,0.0143,0.0282,38.6,5.4,5.7,10.6,11.8,10.4,11.5,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahBirba,41.7,4.426062505,3.7,2.2,2.2,2.8,2.3,2.3,2.3,4.1,2,1.9,6.6,2,2,4.9,4.9,2,1.9
BD4_0_33_A,Oman,Oman_DL,Cement,2,83.9,-8.77,-9.542021536,-10.4,1.7,1.6,3.3,3.3,3.2,3.2,0.5835,0.0207,0.0414,0.0107,0.0406,28.6,7,7.5,13.6,15.7,13.3,15.4,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Cement,31.2,-18.31202154,-9.5,3.2,3.1,-10.4,3.2,3.2,3.2,-8.8,2.8,2.8,-6.5,2.9,2.7,-8,-8,2.8,2.7
BD4_0_33_B,Oman,Oman_DL,Cement,2,55.6,-8.63,-9.183118809,-9.6,1.6,1.7,3.3,3.3,3.2,3.2,0.5774,0.0206,0.0412,0.0072,0.0405,30.7,7.1,7.7,13.8,16,13.6,15.7,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Cement,33.5,-17.81311881,-8.6,3.1,3.2,-9.6,3.2,3.2,3.2,-8,2.8,2.9,-5.7,2.9,2.7,-7.2,-7.2,2.8,2.7
BDK_A,Oman,Oman_CA,Cement,3,94.1,-6.09,-8.412182109,-6.5,1.2,1.2,2.3,2.4,2.2,2.3,0.5781,0.0172,0.0344,0.0071,0.0338,30.5,6,6.4,11.6,13.1,11.4,12.9,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,33.2,-14.50218211,-7.9,2.6,2.6,-8.9,2.7,2.7,2.7,-7.3,2.3,2.4,-4.9,2.4,2.3,-6.5,-6.5,2.3,2.2
BDK_B,Oman,Oman_CA,Cement,3,85.8,-0.46,-5.230557929,-3.2,1.2,1.1,2.3,2.4,2.3,2.3,0.5768,0.0172,0.0344,0.0197,0.0339,31,6,6.4,11.7,13.2,11.5,13,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,33.7,-5.690557929,-4.6,2.6,2.7,-5.6,2.7,2.7,2.7,-4,2.3,2.4,-1.7,2.5,2.3,-3.2,-3.2,2.3,2.3
KDW2_131.8_B,Oman,Oman_DL,Cement,3,78.1,-0.62,-6.612599273,-5,1.4,1.4,2.7,2.7,2.7,2.7,0.5522,0.0172,0.0344,0.0285,0.0337,40.2,6.6,7,12.7,14.5,12.5,14.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Cement,43.4,-7.232599273,-4.1,2.6,2.6,-5,2.7,2.7,2.7,-3.7,2.3,2.4,-1.3,2.5,2.4,-2.9,-2.9,2.4,2.3
KDW2_131.8_J_B,Oman,Oman_CA,Cement,2,73.8,-0.75,-4.813454759,-2.2,1.4,1.4,2.8,2.9,2.7,2.8,0.5681,0.0206,0.0412,0.0212,0.0404,34.1,7.4,7.9,14.2,16.5,14,16.2,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,37,-5.563454759,-3.5,3.1,3.2,-4.5,3.3,3.2,3.2,-3,2.8,2.8,-0.6,2.9,2.8,-2.2,-2.2,2.8,2.7
MDE_BKFF_A,Oman,Oman_CA,Cement,3,94.3,-5.95,-8.460682478,-5.1,1.2,1.3,2.4,2.6,2.3,2.5,0.5563,0.0178,0.0356,0.0065,0.035,38.6,6.7,7.1,12.9,14.8,12.7,14.5,0.2909,0.0775,0.0657,0.1529,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,41.7,-14.41068248,-6.3,2.8,2.7,-7.2,2.8,2.8,2.8,-5.9,2.5,2.4,-3.5,2.6,2.4,-5.1,-5.1,2.5,2.3
MDE_BKFF_B1,Oman,Oman_CA,Cement,3,96.3,-6.93,-9.789592577,-9,1.2,1.2,2.4,2.4,2.4,2.4,0.5954,0.0182,0.0364,0.0095,0.0357,24.5,6,6.3,11.6,13.1,11.4,12.8,0.3041,0.0794,0.0839,0.1567,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,26.9,-16.71959258,-10.6,2.7,2.8,-11.6,2.8,2.9,2.9,-9.9,2.5,2.5,-7.5,2.5,2.4,-9,-9,2.4,2.4
MDE_BKFF_B2,Oman,Oman_CA,Cement,3,102.8,-8.48,-10.42979744,-8,1.2,1.3,2.4,2.5,2.3,2.5,0.57,0.0181,0.0362,0.0166,0.0355,33.4,6.5,6.9,12.5,14.3,12.3,14,0.2364,0.0731,0.1666,0.1443,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,36.3,-18.90979744,-9.3,2.8,2.8,-10.2,2.8,2.9,2.9,-8.8,2.5,2.4,-6.4,2.6,2.4,-8,-8,2.5,2.3
