Counter_Type,Counter_Height,Dome,Section,Meter,Sample,Formation,Group,Composite_Height,Use,Microanalysis_Type,Facies,WaterDepth,Min,d13C,d18O,d13Corg,CAP13C,d34SCAS,d34Spy,Dd34S,TOC,Pyrite,SO4,Ca44_40,Ca44_42,Ca44_43,d26Mg,d25Mg,Mn_ppm,Sr_ppm,Fe_ppm,Na_ppm,Mg_ppm,Al_ppm,P_ppm,S_ppm,K_ppm,Ca_ppm,Ti_ppm,Li_ppm,Be_ppm,B_ppm,Sc_ppm,V_ppm,Cr_ppm,Ba_ppm,Cd_ppm,Cu_ppm,Ni_ppm,Pb_ppm,Zn_ppm,Y_ppm,Zr_ppm,Mg_MgCa,Sr_Ca_mmol_mol,Mg_Ca_mmol_mol,Mn_Ca_mmol_mol,U_Ca_mmol_mol,Mn_Sr_mmol_mol,Mn_Sr_ppm,Al_Acetic_ppm,Ca_Acetic,Fe_Acetic_ppm,K_Acetic_ppm,Mg_Acetic_ppm,Mn_Acetic_ppm,Na_Acetic_ppm,S_Acetic_ppm,Sr_Acetic_ppm,N,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SE_2,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,D48_SD,D48_95_CL,Mineralogy,Type,Form_T,err_Form_T,Calibration,Author,ordering_ratio,Mg,alt_Sample,Counter,Location,Country_Min,Formation.1,T_Petersen,d47_VPDB,d18Ow_VSMOW_MK77,d18Ow_VSMOW_MK77_upper,d18Ow_VSMOW_MK77_lower,d18Ow_VSMOW_H14,d18Ow_VSMOW_H14_upper,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_H14_lower.1,d18Ow_VSMOW_V05,d18Ow_VSMOW_V05_upper,d18Ow_VSMOW_V05_lower,d18Ow_VSMOW_KON97,d18Ow_VSMOW_KON97_upper,d18Ow_VSMOW_KON97_lower,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21.1,d18Ow_VSMOW_A21_upper,d18Ow_VSMOW_A21_lower,Data_Reference,Published,AgeModel,T_calc_sw1_a21
444,,SOSB,TM6,2780,TM6_2780,Shuram,peak,660.229841,0,,,,CA,-10.28,-6.35,-35.2,24.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes,570.4651673,46.87933839
443,,SOSB,TM6,2775,TM6_2775,Shuram,peak,675.4276349,0,,,,CA,-8.92,-6.24,,,,,,12.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes,570.4353092,46.23279382
442,,SOSB,TM6,2770,TM6_2770,Shuram,peak,690.6254288,0,,,,CA,-8.49,-6.48,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes,570.405451,47.64691238
441,,SOSB,TM6,2765,TM6_2765,Shuram,peak,705.8232226,0,,,,CA,-8.31,-6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes,570.3755929,50.33335982
440,,SOSB,TM6,2760,TM6_2760,Shuram,peak,721.0210165,0,162.51,,,CA,-8.27,-7.14,-33.69,25.42,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes,570.3457347,51.60291714
439,,SOSB,TM6,2755,TM6_2755,Shuram,peak,736.2188104,0,,,,CA,-8.28,-5.81,-34.08,25.8,,,,10.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes,570.3158766,43.73093626
438,,SOSB,TM6,2750,TM6_2750,Shuram,peak,751.4166043,0,,,,CA,-8.02,-6.23,-32.22,24.2,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes,570.2860185,46.1741501
437,,SOSB,TM6,2745,TM6_2745,Shuram,peak,766.6143982,0,,,,CA,-8.16,-5.77,-33.42,25.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes,570.2561603,43.50025104
436,,SOSB,TM6,2740,TM6_2740,Shuram,peak,781.8121921,0,,,,CA,-8.83,-5.34,-34.33,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes,570.2263022,41.04200914
435,,SOSB,TM6,2735,TM6_2735,BuahBirba,post,797.0099857,0,797,,,CA,-3.48,-7.22,,,,,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes,570.196444,52.08925428
434,,SOSB,TM6,2730,TM6_2730,BuahBirba,post,802.3111093,0,,,,CA,-2.74,-5.73,-31.31,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes,570.1860293,43.26991071
433,,SOSB,TM6,2710,TM6_2710,BuahBirba,post,823.5156037,0,,,,CA,-3.03,-4.55,,,,,,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes,570.1443701,36.62645193
