Counter_Type,Counter_Height,Dome,Section,Meter,Sample,Formation,Group,Composite_Height,Use,Microanalysis_Type,Facies,WaterDepth,Min,d13C,d18O,d13Corg,CAP13C,d34SCAS,d34Spy,Dd34S,TOC,Pyrite,SO4,Ca44_40,Ca44_42,Ca44_43,d26Mg,d25Mg,Mn_ppm,Sr_ppm,Fe_ppm,Na_ppm,Mg_ppm,Al_ppm,P_ppm,S_ppm,K_ppm,Ca_ppm,Ti_ppm,Li_ppm,Be_ppm,B_ppm,Sc_ppm,V_ppm,Cr_ppm,Ba_ppm,Cd_ppm,Cu_ppm,Ni_ppm,Pb_ppm,Zn_ppm,Y_ppm,Zr_ppm,Mg_MgCa,Sr_Ca_mmol_mol,Mg_Ca_mmol_mol,Mn_Ca_mmol_mol,U_Ca_mmol_mol,Mn_Sr_mmol_mol,Mn_Sr_ppm,Al_Acetic_ppm,Ca_Acetic,Fe_Acetic_ppm,K_Acetic_ppm,Mg_Acetic_ppm,Mn_Acetic_ppm,Na_Acetic_ppm,S_Acetic_ppm,Sr_Acetic_ppm,N,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SE_2,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,D48_SD,D48_95_CL,Mineralogy,Type,Form_T,err_Form_T,Calibration,Author,ordering_ratio,Mg,alt_Sample,Counter,Location,Country_Min,Formation.1,T_Petersen,d47_VPDB,d18Ow_VSMOW_MK77,d18Ow_VSMOW_MK77_upper,d18Ow_VSMOW_MK77_lower,d18Ow_VSMOW_H14,d18Ow_VSMOW_H14_upper,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_H14_lower.1,d18Ow_VSMOW_V05,d18Ow_VSMOW_V05_upper,d18Ow_VSMOW_V05_lower,d18Ow_VSMOW_KON97,d18Ow_VSMOW_KON97_upper,d18Ow_VSMOW_KON97_lower,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21.1,d18Ow_VSMOW_A21_upper,d18Ow_VSMOW_A21_lower,Data_Reference,Published,AgeModel,T_calc_sw1_a21
534,,GSB,MQT,4074,MQT_4074,M. Bay,pre,74,0,,silty limestone,,CA,2.07,-6.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,577.1172036,49.01423486
1393,,GSB,MQT,4072,MQT_4072,M. Bay,pre,76,0,,silty limestone,,CA,2.45,-9.31,-31.0360192,33.49,18.1876223,1.145565994,17.04205631,1.2901,0.747533281,1700,,,,,,476.571,334.154,1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.426201691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,577.0859653,65.34702711
954,,GSB,MQT,4070,MQT_4070,M. Bay,pre,78,0,,silty limestone,,CA,2.14,-6.08,-30.48233333,32.63,19.66532563,2.204748624,17.46057701,,,560,,,,,,433.27,356.544,13580,560,46560,6120,470,9984.63514,3030,172470,116.98088,20.63,0.733,,1.688,193.885,89.018,,,,,,,,,0.21257362,,,,,,1.215193637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,577.054727,45.29714185
1394,,GSB,MQT,4068,MQT_4068,Khufai,pre,80,0,,silty limestone,,CA,2.46,-7.27,,,,,,,,,,,,,,242.865,,10830,710,46770,5430,420,7237.13241,2430,180340,106.72838,16.449,0.523,,1.434,183.25,43.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,577.0234888,52.39397536
955,,GSB,MQT,4060,MQT_4060,Khufai,pre,88,0,,silty limestone,,CA,2.95,-8.21,-30.70466667,33.65,21.22389766,-0.420934904,21.64483257,,,200,,,,,,423.813,418.046,7915,525,61220,2650,210,6134.13244,1380,231350,,10.624,0.189,,0.832,55.319,109.846,,,,,,,,,0.160330855,,,,,,1.013795133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,576.8985357,58.23387505
286,,GSB,MQT,4056,MQT_4056,Khufai,pre,92,0,,limestone,,CA,,,,,,,,,,,,,,,,233,,12100,1200,55500,5000,210,4620,1900,259000,,15.2,0.3,23,1.2,51,30.7,,,,,,,,,0.176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,576.8360592,
73,,GSB,MQT,4050,MQT_4050,Khufai,pre,98,0,,limestone,,CA,3.37,-9.32,,,21.67110487,-3.138423241,24.80952811,1.16545,0.650944531,25,,,,,,200.681,369.649,10060,350,42230,2320,170,4108.33916,960,231540,,9.952,0.298,,0.716,48.397,68.719,,,,,,,,,0.154253571,,,,,,0.542896099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,576.7423444,65.41313007
1395,,GSB,MQT,4044,MQT_4044,Khufai,pre,104,0,,limestone,,CA,3.91,-7.78,,,,,,,,,,,,,,143,,4000,940,34700,1700,200,1870,800,316000,,3.9,0.1,13,0.4,85,11.8,,,,,,,,,0.098944967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,576.6486296,55.53595503
956,,GSB,MQT,4040,MQT_4040,Khufai,pre,108,0,,limestone,,CA,3.7,-9.1,,,21.65811881,1.820769176,19.83734963,0.4471,0.294913906,210,,,,,,127.418,664.184,2500,1010,96200,1200,220,20910,600,204000,,2.783,0.167,,0.395,85.165,41.545,,,,,,,,,0.090755976,,,,,,0.191841417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,576.586153,63.96495622
1396,,GSB,MQT,4034,MQT_4034,Khufai,pre,114,0,,limestone,,CA,,,,,,,,,,,,,,,,107,,3200,1080,29300,1700,180,1900,800,255000,,4.1,0.2,10,0.3,101,10.9,,,,,,,,,0.103060148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,576.4924382,
