Region,Formation,Section,sample ID,AgeModel,TIC wt%,del13CIC,OC wt%,delOC,del18O,FeHR/FeT,,siltstone,conglomerate,calcareous,diamictite,,,,,,,,,,,,,,,,,,,,0
Avalon Peninnsula,Middle to Upper Fermeuse,,82,559.2,0.126,-3.76,0.13,,-14.66,0.27,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,83,559.1,0.168,-4.61,0.17,,-17.08,0.23,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,84,559.0,,,,,,0.17,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,85,558.9,0.105,-2.13,0.11,,-14.66,0.18,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,86,558.8,0.136,-2.96,0.14,,-13.00,0.18,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,87,558.7,0.074,-3.79,0.07,,-16.89,0.18,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,88,558.6,0.060,-3.33,0.06,,-16.24,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,89,558.5,,,,,,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,90,558.4,0.013,-9.50,0.01,,,0.18,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,91,558.3,0.580,-11.09,0.58,,-15.88,0.18,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Fermeuse,,68,557.0,0.025,-3.65,0.03,,-11.95,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Fermeuse,,69,556.8,0.248,-5.68,0.25,,-8.39,0.21,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Fermeuse,,70,556.6,0.016,-5.31,0.02,,-11.04,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Fermeuse,,71,556.4,,,,,,0.23,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Fermeuse,,72,556.2,0.001,-3.91,0.00,,,0.21,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Fermeuse,,73,556.0,3.040,,3.04,,,0.49,,x,,,,,,,,,,,,,,,,,,,,,,,
