Region,Formation,Section,sample ID,AgeModel,TIC wt%,del13CIC,OC wt%,delOC,del18O,FeHR/FeT,,siltstone,conglomerate,calcareous,diamictite,,,,,,,,,,,,,,,,,,,,0
Avalon Peninnsula,upper Gaskiers,Harbour Main,122,580.8,0.031,-14.62,0.03,,,0.35,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Gaskiers,Harbour Main,121,580.8,0.025,-16.25,0.03,,,0.35,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Gaskiers,Harbour Main,120,580.7,0.185,-20.26,0.19,,-18.66,0.46,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Gaskiers,Harbour Main,119,580.6,0.014,-19.41,0.01,,-19.97,0.48,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Gaskiers,Harbour Main,118,580.5,0.005,-4.88,0.01,,-18.10,0.37,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Gaskiers,Harbour Main,117,580.4,0.164,-9.96,0.16,,-15.88,0.42,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Gaskiers,Harbour Main,116,580.4,0.232,-8.30,0.23,,-18.10,0.34,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Gaskiers,Harbour Main,115,580.3,7.130,-3.42,7.13,,,0.27,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Gaskiers,Harbour Main,114,580.2,7.880,-2.08,7.88,,-13.05,0.32,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Gaskiers,Harbour Main,113,580.1,,,,,-7.10,0.29,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Gaskiers,Harbour Main,112,580.0,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Gaskiers ,St. Mary's,24,581.5,0.053,-6.73,0.05,,,0.40,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Gaskiers ,St. Mary's,23,581.2,0.026,-1.66,0.03,,,0.43,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Gaskiers ,St. Mary's,22,580.9,0.063,-12.67,0.06,,,0.44,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Gaskiers ,St. Mary's,21,580.6,0.023,-13.10,0.02,,,0.43,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Gaskiers ,St. Mary's,20,580.3,0.023,-12.16,0.02,,,0.42,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Gaskiers ,St. Mary's,19,580.0,0.042,-15.10,0.04,,-18.35,0.39,,,,,x,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Drook,St Mary's,06-38,580.2,,,,,,0.43,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Drook,St Mary's,06-39,580.0,,,,,,0.24,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Drook,St Mary's,06-40A,579.8,0.002,-9.93,0.00,,-13.42,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Drook,St Mary's,06-40B,579.6,0.004,-13.30,0.00,,-9.20,0.27,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Drook,St Mary's,06-40C,579.4,0.004,-12.71,0.00,,-9.66,0.24,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Drook,St Mary's,06-41,579.2,0.004,-15.68,0.00,,-14.54,0.30,,x,,,,,,,,,,,,,,,,,,,,,,,
