SamID,Bergmann_2025_Age,,Chen_2022_Age,Meter,d13C,d18O,87Sr_86Sr,d13Corg,TOC,d34SCAS,d34Spy,Type,Min,Section,Fm,Mb,CEX,Period,Series,Stage,ConZone,GrapZone,TriZone,SSFZone,ArcZone,OstZone,AmmZone,Country,State,Town,Lat,Long,Ca,Mg,Mg_Ca,Fe,Mn,Sr,Si,Mn_Sr,Source
KA-10,,,564.559,,3.49,-5.21,0.708556,,,,,,DL,medium-certainty,Khufai Fm,,slightly altered?,,,,,,,,,,,Oman,,,,,,,,,320,28,,,"Chen et al., 2022;Burns et al. (1994);Cox et al., 2016"
KA-3,,,565.2542,,3.26,-4.23,0.708537,,,,,,DL,medium-certainty,Khufai Fm,,slightly altered?,,,,,,,,,,,Oman,,,,,,,,,710,78,,,"Chen et al., 2022;Burns et al. (1994);Cox et al., 2016"
KA-2,578,,565.2858,,3.7,-4,0.708502,,,,,,DL,medium-certainty,Khufai Fm,,altered? （too low Sr),,,,,,,,,,,Oman,,,,,,,,,317,44,,,"Chen et al., 2022;Burns et al. (1994);Cox et al., 2016"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kh-322-0 2482.4,,,530,,-0.7,25.5,0.708522,,,,,,CA,medium-certainty,Yuryakh,,"marine facies, well preserved, poor age constrain",,,,,,,,,,,Russia,,,,,,,,491,52,471,,,"Chen et al., 2022;Kochnev et al..2018;Kaufman et al.. 2012;Kochnev et al..2018"
Kh-322-0 2486,,,530.1311408,,1,25.4,0.708592,,,,,,CA,medium-certainty,Yuryakh,,"marine facies, well preserved, poor age constrain",,,,,,,,,,,Russia,,,,,,,,647,43,245,,,"Chen et al., 2022;Kochnev et al..2018;Kaufman et al.. 2012;Kochnev et al..2018"
Kh-322-0 2490,,,530.2768528,,1.2,25.1,0.708502,,,,,,CA,medium-certainty,Yuryakh,,"marine facies, well preserved, poor age constrain",,,,,,,,,,,Russia,,,,,,,,254,35,263,,,"Chen et al., 2022;Kochnev et al..2018;Kaufman et al.. 2012;Kochnev et al..2018"
Kh-322-0 2491.5,,,530.3314948,,1.1,25.3,0.708492,,,,,,CA,medium-certainty,Yuryakh,,"marine facies, well preserved, poor age constrain",,,,,,,,,,,Russia,,,,,,,,549,40,255,,,"Chen et al., 2022;Kochnev et al..2018;Kaufman et al.. 2012;Kochnev et al..2018"
Kh-322-0 2538,,,532.0253968,,0.4,23,0.708492,,,,,,CA,medium-certainty,Kudulakh,,"marine facies, well preserved, poor age constrain",,,,,,,,,,,Russia,,,,,,,,571,94,216,,,"Chen et al., 2022;Kochnev et al..2018;Kaufman et al.. 2012;Kochnev et al..2018"
Kh-322-0 2958,,,547.3251568,,,,0.709182,,,,,,A,low-certainty,Byuk,,altered,,,,,,,,,,,Russia,,,,,,,,,,,,,"Chen et al., 2022;Kochnev et al..2018;Kochnev and Karlova. 2010;Kaufman et al.. 2012"
Kh-322-0 2961,,,547.4344408,,,,0.715452,,,,,,,low-certainty,Byuk,,altered,,,,,,,,,,,Russia,,,,,,,,23526,6954,129,,,"Chen et al., 2022;Kochnev et al..2018;Kochnev and Karlova. 2010;Kaufman et al.. 2012"
Kh-322-0 3013,,,549.3286968,,,,0.708952,,,,,,A,low-certainty,Kharystan,,aluminosilicates,,,,,,,,,,,Russia,,,,,,,,,,,,,"Chen et al., 2022;Kochnev et al..2018;Kochnev and Karlova. 2010;Kaufman et al.. 2012"
B-16,,,550,,4.2,-10.1,0.7098,,,,,,CA,low-certainty,Uluntui Formation，Baikal Group,,altered,,,,,,,,,,,Russia,,,,,,,,280,40,180,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
980-100,,,550,,,-19.7,0.70858,,,,,,CA,high-certainty,Tinnaya  Fm (Yudoma Group),,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,,,203,,,"Chen et al., 2022;Gorokhov et al. (1995);see Bartley et al. 2000"
980-100,,,550,,,-19.7,0.70854,,,,,,CA,high-certainty,Tinnaya  Fm (Yudoma Group),,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,,,167,,,"Chen et al., 2022;Gorokhov et al. (1995);see Bartley et al. 2000"
3469,,,550,,,,0.70905,,,,,,DL,low-certainty,Starorechenskiy Fm,,altered,,,,,,,,,,,Russia,,,,,,,,,,57,,,"Chen et al., 2022;Pokrovsky & Vinogradov (1991);"
3470,,,550,,,,0.70839,,,,,,DL,medium-certainty,Starorechenskiy Fm,,"marine, least altered, good age constraints, leaching method?",,,,,,,,,,,Russia,,,,,,,,,,57,,,"Chen et al., 2022;Pokrovsky & Vinogradov (1991);"
3471,,,550,,,,0.70854,,,,,,DL,medium-certainty,Starorechenskiy Fm,,"marine, least altered, good age constraints, leaching method?",,,,,,,,,,,Russia,,,,,,,,,,53,,,"Chen et al., 2022;Pokrovsky & Vinogradov (1991);"
3472,,,550,,,,0.70844,,,,,,DL,medium-certainty,Starorechenskiy Fm,,"marine, least altered, good age constraints, leaching method?",,,,,,,,,,,Russia,,,,,,,,,,56,,,"Chen et al., 2022;Pokrovsky & Vinogradov (1991);"
B-8,,,550.7742,,4.9,-8.9,0.71024,,,,,,DL,low-certainty,Uluntui Formation，Baikal Group,,altered,,,,,,,,,,,Russia,,,,,,,,450,50,105,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
6027,,,553,,,,0.70843,,,,,,CA,high-certainty,Ust-Yudoma Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,,,1190,,,"Chen et al., 2022;Semikhatov et al.,2004;Semikhatov et al.,2003"
6026,,,553,,,,0.70833,,,,,,CA,high-certainty,Ust-Yudoma Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,,,1660,,,"Chen et al., 2022;Semikhatov et al.,2004;Semikhatov et al.,2003"
6024,,,553,,,,0.70838,,,,,,CA,high-certainty,Ust-Yudoma Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,,,1490,,,"Chen et al., 2022;Semikhatov et al.,2004;Semikhatov et al.,2003"
6022,,,553,,,,0.70838,,,,,,CA,high-certainty,Ust-Yudoma Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,,,1950,,,"Chen et al., 2022;Semikhatov et al.,2004;Semikhatov et al.,2003"
6020,,,553,,,,0.7083,,,,,,CA,high-certainty,Ust-Yudoma Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,,,1290,,,"Chen et al., 2022;Semikhatov et al.,2004;Semikhatov et al.,2003"
