UID,Time_Collected,Transducer_Pressure,Sample_Weight,NuCarb_temp,Pumpover_Pressure,Initial_Sam,Balance,Vial_Location,d13C_SE_Nu,d18O_SE_Nu,D47_SE_Nu,d47_pre_SE,d47_post_SE,Bad_count,Sample
3704,2017/12/27 11:25:34,10.345,449.0,71.49,0.001,4.5406e-08,-0.11,39.0,0.002,0.004,0.018,0.016673190547883035,0.016673190547883035,0,ETH4
3712,2017/12/27 22:05:17,9.643,430.0,70.93,0.001,4.3775e-08,-0.02,47.0,0.001,0.003,0.02,0.019553892715540262,0.019553892715540262,0,ETH2
3695,2017/12/26 23:20:08,9.186,427.0,71.26,0.001,3.9326e-08,-0.45,30.0,0.002,0.002,0.021,0.02108369005754233,0.018164135694439917,1,MDE 293.4
3701,2017/12/27 07:25:07,10.254,443.0,71.26,0.001,4.8069e-08,-0.11,36.0,0.002,0.002,0.02,0.020649340879113277,0.018699045428019083,1,ETH1
3691,2017/12/26 17:57:14,10.742,488.0,70.99,0.001,5.1069e-08,-0.03,26.0,0.002,0.004,0.03,0.02893117496185836,0.0185067823561998,2,ETH2
3709,2017/12/27 18:05:25,11.383,504.0,71.49,0.001,5.0613e-08,-0.05,44.0,0.002,0.002,0.018,0.018269103469920618,0.0157717893714467,1,KDW2 131.8A
3700,2017/12/27 06:03:42,9.949,440.0,71.26,0.001,4.4867e-08,-0.07,35.0,0.002,0.004,0.016,0.016631709601162968,0.016631709601162968,0,ETH2
3690,2017/12/26 16:35:47,9.888,468.0,70.99,0.001,4.5478e-08,-0.01,25.0,0.008,0.011,0.02,0.022961162804615503,0.022961162804615503,0,ETH1
3697,2017/12/27 01:59:18,9.521,436.0,71.26,0.001,3.9829e-08,-0.13,32.0,0.001,0.002,0.022,0.060011042608266014,0.016863406531742342,2,KDW2 59.0
3694,2017/12/26 22:00:19,9.46,483.0,71.26,0.001,4.0495e-08,-0.1,29.0,0.001,0.002,0.018,0.08244775133452993,0.017500160617106072,1,MDE 292.5
3711,2017/12/27 20:46:10,8.606,449.0,71.49,0.001,3.793e-08,-0.16,46.0,0.002,0.002,0.017,0.08355346211840879,0.01757591740441303,1,ETH3
3703,2017/12/27 10:04:08,11.261,490.0,71.49,0.001,4.938e-08,-0.43,38.0,0.007,0.01,0.018,0.02378734455560617,0.01885141064158675,2,KDW2 59.0
3689,2017/12/26 15:14:11,8.606,431.0,70.48,0.001,3.8822e-08,-7.1,24.0,0.017,0.024,0.034,0.045808735360379,0.03335242730436076,8,MDE 293.4
3698,2017/12/27 03:20:36,8.545,528.0,71.26,0.001,3.7253e-08,-3.05,33.0,0.003,0.004,0.03,0.032893847547408324,0.023740606587806082,2,KDW2 64.8
3707,2017/12/27 15:26:56,9.521,461.0,71.49,0.001,4.4108e-08,-0.08,42.0,0.002,0.002,0.019,0.07680913525190865,0.018654920849164664,2,MDE 293.4
3705,2017/12/27 12:46:20,6.836,530.0,71.49,0.001,2.8833e-08,-16.05,40.0,0.009,0.018,0.02,0.021036278937032755,0.021036278937032755,0,KDW2 64.8
19582,2023/05/12 01:53:39,25.97,507.0,64.5,0.058296,1.5941e-07,0.22,24.0,0.176,0.1297,0.0199,0.29971148882639703,0.10133484581113117,50, ETH-4
19584,2023/05/12 04:38:07,2.441,634.0,64.5,0.054493,2.4711e-08,-39.73,26.0,0.0021,0.0058,0.0352,0.04080622851454753,0.03567310155159355,8, AU_GR7_98_63
19575,2023/05/11 16:11:54,8.301,756.0,64.5,0.055732,5.0661e-08,0.26,17.0,0.0012,0.0029,0.0305,0.029754671797939145,0.02662969461310375,3, AU_GR8_91_24
19589,2023/05/12 11:36:09,3.479,888.0,63.66,0.059621,2.6447e-08,-40.32,31.0,0.0016,0.0039,0.1654,0.1650158331613538,0.06927785233375337,50, AU_GR10_601_9
19579,2023/05/11 21:48:01,0.091,725.0,64.5,0.056999,4.1089e-09,-90.55,21.0,0.0119,0.0317,0.1831,0.22070055759245383,0.07147454968446292,41, AU_KAR1_1352_95
19593,2023/05/12 17:09:43,23.559,448.0,63.66,0.059621,1.412e-07,0.2,35.0,0.5768,0.4311,0.0429,0.9523233811855273,0.1941714359690553,56, ETH-4
