SampName,SampCategory,SampSubCategory,SampNum,Mineralogy,Mineralogy2,Date,Time,AnalysisID,RepliicateID,MassSpec,rxnTemp,SampYN,RefYN,Bad,D47TE,AFF,ARF_ID1,ARF_ID2,ARF_ID3,d45,sd_d45,d46,sd_d46,d47,sd_d47,d48,sd_d48,d49,sd_d49,d13C_wg_VPDB,d18O_wg_VSMOW,d13C,se_13,d18O,se_18,AFF_d18O,Final_d13Ccarb,Final_d18Ocarb_VSMOW,D47,sd_D47,se_D47,D48,sd_D48,se_D48,D49,sd_D49,se_D49,SlopeEGL,SlopeETF,IntETF,D47rfac
KDW2_64.8,Sample,NA,NA,Dolomite,NA,7/12/17 05,15:44,3548,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171216,NA,NA,6.065817,NA,13.128218,NA,19.013247,NA,26.270672,NA,27.27491,NA,-3.64,25.457,2.347167,0.002,38.903775,0.003,1.0087142,2.347167,29.026714157746184,-0.227468,NA,0.01203685460698713,-0.154006,NA,NA,-5.152069,NA,NA,NA,NA,NA,0.508275
MDE_292.5,Sample,NA,NA,Dolomite,NA,7/12/17 07,04:10,3549,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171216,NA,NA,-1.388178,NA,8.560577,NA,6.732147,NA,17.150326,NA,20.922307,NA,-3.64,25.457,-5.432676,0.001,34.232172,0.003,1.0087142,-5.432676,24.35511115774618,-0.237629,NA,0.012752733035643662,-0.043392,NA,NA,5.451681,NA,NA,NA,NA,NA,0.518297
ETH-3,carbSTD,IAEA-C1,NA,Calcite,NA,7/12/17 12,05:29,3550,NA,Nu_Perspective,70,NA,N,0,0.2085,0,20171216,NA,NA,5.401721,NA,12.299589,NA,17.554216,NA,24.609487,NA,22.756183,NA,-3.64,25.457,1.669481,0.003,38.054687,0.007,1.0087142,1.669481,29.38240022011648,-0.174649,NA,0.015560198383431737,-0.137534,NA,NA,-7.235978,NA,NA,NA,NA,NA,0.571173
KDW2_131.8_A,carbSTD,ETH-3,NA,Dolomite,NA,7/12/17 17,06:54,3553,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171216,NA,NA,2.643854,NA,9.566583,NA,11.904937,NA,19.184202,NA,23.726932,NA,-3.64,25.457,-1.170691,0.003,35.25552,0.007,1.0087142,-1.170691,25.378459157746178,-0.250187,NA,0.018104569150533642,-0.03971,NA,NA,1.928049,NA,NA,NA,NA,NA,0.494844
MDE_292.5,Sample,NA,NA,Dolomite,NA,7/12/17 18,28:14,3554,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171216,NA,NA,-1.447113,NA,8.477873,NA,6.566822,NA,16.83283,NA,14.042035,NA,-3.64,25.457,-5.492475,0.002,34.147408,0.003,1.0087142,-5.492475,24.27034715774618,-0.260341,NA,0.010343072192647277,-0.191555,NA,NA,-1.100553,NA,NA,NA,NA,NA,0.492646
ETH-1,Sample,NA,NA,Calcite,NA,7/12/27 19,24:36,3710,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171216,NA,NA,5.756948,NA,11.878888,NA,17.173362,NA,23.642879,NA,30.729592,NA,-3.64,25.457,2.063643,0.002,37.621986,0.003,1.0087142,2.063643,28.94969922011648,-0.504634,NA,0.012398125881462264,-0.249994,NA,NA,0.94434,NA,NA,NA,NA,NA,0.194942
ETH-1,carbSTD,ETH-1,NA,Calcite,NA,,,3765,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,5.732148,NA,11.917936,NA,17.167043,NA,23.672346,NA,56.104935,NA,-3.621,25.432,2.052621,,37.650723,,1.0087142,2.052621,28.97843622011648,-0.523339,NA,0.011583188537269466,-0.298373,NA,NA,25.535582,NA,NA,NA,NA,NA,0.229121
ETH-4,carbSTD,IAEA-C2,NA,Calcite,NA,7/12/29 15,20:57,3766,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,-6.325756,NA,-4.937125,NA,-11.598056,NA,-9.678358,NA,16.391681,NA,-3.621,25.432,-10.183269,0.002,20.376402,0.003,1.0087142,-10.183269,11.704115220116478,-0.252966,NA,0.01007505196739467,0.173163,NA,NA,33.289571,NA,NA,NA,NA,NA,0.491898
KDW2_64.8,Sample,NA,NA,Dolomite,NA,7/12/29 16,41:21,3767,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,6.072531,NA,13.171649,NA,19.176827,NA,26.491627,NA,72.09545,NA,-3.621,25.432,2.369592,0.003,38.936906,0.007,1.0087142,2.369592,29.05984515774618,-0.116004,NA,0.01490750894772889,-0.024477,NA,NA,38.158823,NA,NA,NA,NA,NA,0.636982
MDE_292.5,carbSTD,ETH-1,NA,Dolomite,NA,7/12/29 18,01:54,3768,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,-1.403227,NA,8.571318,NA,6.763801,NA,17.06843,NA,45.928486,NA,-3.621,25.432,-5.4324,0.002,34.231911,0.003,1.0087142,-5.4324,24.354850157746178,-0.201122,NA,0.01169596133468681,-0.1452,NA,NA,30.073906,NA,NA,NA,NA,NA,0.548589
