Sample,N,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SE_2,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,D48_SD,D48_95_CL,Mineralogy,Type,Form_T,err_Form_T,Calibration,Author,ordering_ratio,Mg,alt_Sample,Counter,Location,Country_Min,Formation,T_Petersen,d47_VPDB,d18Ow_VSMOW_MK77,d18Ow_VSMOW_MK77_upper,d18Ow_VSMOW_MK77_lower,d18Ow_VSMOW_H14,d18Ow_VSMOW_H14_upper,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_V05,d18Ow_VSMOW_V05_upper,d18Ow_VSMOW_V05_lower,d18Ow_VSMOW_KON97,d18Ow_VSMOW_KON97_upper,d18Ow_VSMOW_KON97_lower,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21_upper,d18Ow_VSMOW_A21_lower
KDW2_130.2_A_A,4,64.5,-1.04,-4.895686224201509,-5.3,1.2,1.2,2.4,2.4,2.4,2.4,0.5775,0.015,0.03,0.034,0.0296,30.7,5.2,5.5,10.2,11.4,10.1,11.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,33.4,-5.935686224201509,-4.4,2.4,2.3,-5.3,2.4,2.4,2.4,-3.8,2.1,2.0,-1.4,2.1,2.0,-2.9,-2.9,2.0,2.0
KDW2_130.6_A_B,1,67.7,-1.43,-4.9732868139659905,0.4,2.3,2.4,4.7,4.7,4.6,4.7,0.5048,0.0293,0.0586,,0.0576,60.7,13.1,14.9,24.8,31.9,24.4,31.3,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,65.1,-6.40328681396599,1.3,4.5,4.5,0.4,4.7,4.6,4.6,1.2,4.1,4.0,3.9,4.6,4.3,2.2,2.2,4.5,4.2
KDW2_131.8_A,4,94.6,-1.21,-5.380689910229523,0.7,1.3,1.3,2.6,2.6,2.6,2.6,0.4964,0.0162,0.0324,0.0185,0.0318,64.8,7.7,8.3,14.9,17.2,14.7,16.9,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,69.4,-6.590689910229523,1.5,2.5,2.5,0.7,2.6,2.6,2.6,1.4,2.2,2.2,4.1,2.6,2.4,2.4,2.4,2.4,2.4
KDW2_131.8_AA,3,81.8,-1.92,-6.113264637298261,-4.5,1.2,1.2,2.3,2.4,2.3,2.3,0.5828,0.0173,0.0346,0.009,0.034,28.8,5.9,6.3,11.5,13.0,11.3,12.7,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,TopKhufai,31.4,-8.033264637298261,-6.0,2.7,2.6,-7.0,2.8,2.7,2.7,-5.3,2.3,2.4,-3.0,2.4,2.3,-4.5,-4.5,2.3,2.3
KDW2_131.8_B,3,78.1,-0.62,-6.612599272740681,-5.0,1.4,1.4,2.7,2.7,2.7,2.7,0.5522,0.0172,0.0344,0.0285,0.0337,40.2,6.6,7.0,12.7,14.5,12.5,14.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Cement,43.4,-7.232599272740681,-4.1,2.6,2.6,-5.0,2.7,2.7,2.7,-3.7,2.3,2.4,-1.3,2.5,2.4,-2.9,-2.9,2.4,2.3
KDW2_131.8_H_A,3,78.5,-0.27,-4.915086371642634,-0.1,1.4,1.4,2.7,2.7,2.7,2.7,0.5121,0.017,0.034,0.0062,0.0334,57.3,7.6,8.1,14.7,16.9,14.4,16.6,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,61.4,-5.185086371642633,0.7,2.7,2.6,-0.1,2.7,2.7,2.7,0.8,2.3,2.3,3.4,2.6,2.5,1.7,1.7,2.5,2.4
KDW2_131.8_H_B,3,65.8,-0.64,-5.186688435818315,2.0,1.4,1.3,2.8,2.7,2.7,2.6,0.483,0.0169,0.0338,0.0045,0.0331,71.6,8.5,9.2,16.5,19.2,16.1,18.8,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,CementBurial,76.7,-5.826688435818315,2.7,2.7,2.5,2.0,2.6,2.7,2.7,2.5,2.4,2.3,5.4,2.7,2.6,3.6,3.6,2.6,2.5
KDW2_131.8_J_B,2,73.8,-0.75,-4.81345475874318,-2.2,1.4,1.4,2.8,2.9,2.7,2.8,0.5681,0.0206,0.0412,0.0212,0.0404,34.1,7.4,7.9,14.2,16.5,14.0,16.2,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,37.0,-5.56345475874318,-3.5,3.1,3.2,-4.5,3.3,3.2,3.2,-3.0,2.8,2.8,-0.6,2.9,2.8,-2.2,-2.2,2.8,2.7
KDW2_131.8_J_C,1,40.6,-0.45,-5.700792343008011,-3.8,2.4,2.3,4.7,4.6,4.6,4.5,0.549,0.029,0.058,,0.0569,41.5,11.0,12.2,20.8,26.0,20.5,25.4,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,44.7,-6.150792343008011,-2.9,4.4,4.5,-3.8,4.5,4.6,4.6,-2.6,4.0,3.9,-0.2,4.3,3.9,-1.8,-1.8,4.2,3.8
KDW2_26.5_A,1,98.8,3.85,-4.313681800967892,3.4,2.4,2.4,4.8,4.8,4.7,4.7,0.4764,0.0296,0.0592,,0.0582,75.1,15.0,17.2,28.2,37.2,27.7,36.5,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,80.4,-0.4636818009678918,4.1,4.6,4.5,3.4,4.7,4.7,4.7,3.9,4.1,4.1,6.8,5.0,4.5,5.0,5.0,4.8,4.4
KDW2_34.5_A,1,99.5,3.97,-3.9353789258660403,0.9,2.4,2.4,4.8,4.8,4.7,4.7,0.5121,0.0297,0.0594,,0.0583,57.3,12.9,14.6,24.4,31.4,24.0,30.7,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,61.4,0.03462107413395987,1.7,4.6,4.5,0.9,4.7,4.7,4.7,1.8,4.1,4.1,4.4,4.6,4.3,2.7,2.7,4.5,4.2
KDW2_51.0_A,5,94.7,2.93,-2.460967720340882,0.3,1.1,1.1,2.2,2.2,2.2,2.2,0.538,0.0138,0.0276,0.0229,0.0271,45.9,5.6,5.9,10.9,12.1,10.7,11.9,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,49.5,0.469032279659118,1.2,2.1,2.1,0.3,2.2,2.2,2.2,1.4,1.9,1.9,3.9,2.1,2.0,2.2,2.2,2.0,1.9
KDW2_55.7_A,1,104.9,2.91,-3.5958763456464293,0.1,2.4,2.4,4.8,4.8,4.7,4.7,0.5263,0.0296,0.0592,,0.0582,50.9,12.2,13.7,23.1,29.3,22.7,28.7,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,54.7,-0.6858763456464292,1.0,4.5,4.6,0.1,4.7,4.7,4.7,1.1,4.1,4.0,3.6,4.6,4.2,2.0,2.0,4.4,4.1
KDW2_59.0,5,97.9,3.47,-3.6928770828520334,1.3,1.3,1.2,2.5,2.4,2.4,2.4,0.5106,0.0152,0.0304,0.0487,0.0298,58.0,6.8,7.3,13.3,15.1,13.0,14.8,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,62.2,-0.22287708285203323,2.1,2.3,2.3,1.3,2.4,2.4,2.4,2.1,2.1,2.1,4.7,2.4,2.2,3.0,3.0,2.3,2.2
KDW2_63.0_A,1,67.1,2.72,-3.4212750186763445,0.5,2.4,2.3,4.8,4.7,4.7,4.7,0.5239,0.0296,0.0592,,0.0582,52.0,12.3,13.8,23.3,29.6,22.9,29.1,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,55.8,-0.7012750186763443,1.3,4.6,4.5,0.5,4.7,4.7,4.7,1.5,4.0,4.1,4.0,4.6,4.2,2.3,2.3,4.4,4.1
KDW2_64.8,6,66.1,2.35,-1.8207628547839005,-0.5,1.2,1.2,2.3,2.4,2.3,2.4,0.5554,0.0148,0.0296,0.0439,0.0292,39.0,5.6,5.9,10.9,12.2,10.8,12.0,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,42.1,0.5292371452160995,0.5,2.2,2.3,-0.5,2.4,2.3,2.3,0.9,2.0,2.1,3.3,2.1,2.1,1.7,1.7,2.0,2.1
KDW2_66.5_A,1,96.1,1.79,-3.8189780412193195,1.0,2.4,2.4,4.8,4.7,4.7,4.7,0.5125,0.0295,0.059,,0.058,57.1,12.8,14.5,24.2,31.1,23.9,30.5,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,61.3,-2.0289780412193195,1.8,4.6,4.5,1.0,4.7,4.7,4.7,1.9,4.0,4.1,4.5,4.6,4.3,2.7,2.7,4.5,4.1
KDW2_67.5_A,1,101.7,3.35,-3.188473249382903,0.7,2.3,2.4,4.7,4.8,4.6,4.7,0.5233,0.0297,0.0594,,0.0583,52.2,12.3,13.9,23.4,29.8,23.0,29.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,56.1,0.1615267506170972,1.6,4.6,4.6,0.7,4.7,4.6,4.6,1.7,4.1,4.0,4.3,4.6,4.2,2.6,2.6,4.4,4.1
KDW2_69.9_A,1,104.6,3.33,-5.244888878141679,1.2,2.3,2.4,4.7,4.8,4.6,4.7,0.4915,0.0295,0.059,,0.058,67.2,14.0,15.9,26.3,34.3,25.9,33.7,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,72.0,-1.9148888781416789,2.0,4.6,4.5,1.2,4.7,4.6,4.6,1.9,4.1,4.1,4.7,4.8,4.4,2.9,2.9,4.6,4.3
KDW2_70.9_A,1,100.0,3.62,-3.8868785572632416,-0.3,2.4,2.3,4.8,4.7,4.7,4.6,0.5281,0.0297,0.0594,,0.0583,50.1,12.1,13.7,23.0,29.2,22.6,28.6,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,53.9,-0.2668785572632415,0.5,4.6,4.5,-0.3,4.6,4.7,4.7,0.7,4.1,4.1,3.2,4.6,4.2,1.5,1.5,4.4,4.0
KDW2_80.4_A,1,105.6,2.16,-2.8295705217221685,2.5,2.3,2.4,4.7,4.8,4.6,4.7,0.5054,0.0296,0.0592,,0.0582,60.4,13.2,15.0,25.0,32.2,24.6,31.6,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,64.8,-0.6695705217221684,3.4,4.5,4.6,2.5,4.7,4.6,4.6,3.3,4.1,4.0,6.0,4.7,4.3,4.3,4.3,4.5,4.2
KDW2_95.1_A,1,82.6,1.9,-3.6540767879697933,1.3,2.4,2.3,4.8,4.7,4.7,4.6,0.5109,0.0295,0.059,,0.058,57.8,12.9,14.6,24.4,31.3,24.0,30.7,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,62.0,-1.7540767879697934,2.1,4.6,4.5,1.3,4.6,4.7,4.7,2.1,4.1,4.0,4.7,4.7,4.2,3.0,3.0,4.5,4.1
KG92_21,1,77.5,-1.31,-5.817193227654738,1.0,2.3,2.4,4.7,4.8,4.6,4.7,0.4866,0.0296,0.0592,,0.0582,69.7,14.3,16.4,27.0,35.3,26.6,34.6,,,,,Dolomite,,,,,,,,,,Siberia,Siberia_DL,Kotuikan,74.7,-7.127193227654738,1.8,4.6,4.5,1.0,4.7,4.6,4.6,1.7,4.0,4.1,4.5,4.8,4.5,2.7,2.7,4.7,4.3
KG92_24,1,90.9,-1.41,-6.2148962501977065,1.1,2.4,2.4,4.7,4.8,4.7,4.7,0.481,0.0296,0.0592,,0.0581,72.6,14.7,16.8,27.6,36.3,27.2,35.5,,,,,Dolomite,,,,,,,,,,Siberia,Siberia_DL,Kotuikan,77.8,-7.624896250197707,1.9,4.5,4.6,1.1,4.7,4.7,4.7,1.6,4.1,4.0,4.5,4.9,4.5,2.7,2.7,4.7,4.3
KG92_91,3,77.9,-1.33,-5.836593375095855,1.5,1.5,1.4,2.9,2.8,2.9,2.8,0.4812,0.0179,0.0358,0.0024,0.0351,72.5,9.1,9.9,17.5,20.6,17.2,20.2,,,,,Dolomite,,,,,,,,,,Siberia,Siberia_DL,Kotuikan,77.7,-7.1665933750958555,2.2,2.8,2.7,1.5,2.8,2.9,2.9,2.0,2.5,2.4,4.9,2.9,2.8,3.1,3.1,2.8,2.7
KG92_94,3,87.5,-1.39,-6.176095955315466,2.3,1.4,1.5,2.8,2.9,2.8,2.9,0.466,0.0178,0.0356,0.0043,0.035,80.9,9.7,10.6,18.6,22.1,18.3,21.7,,,,,Dolomite,,,,,,,,,,Siberia,Siberia_DL,Kotuikan,86.6,-7.566095955315466,3.1,2.7,2.8,2.3,2.9,2.8,2.8,2.7,2.5,2.4,5.8,2.9,2.8,3.9,3.9,2.9,2.7
MD6_S,3,50.3,-12.84,-8.499482772556089,-1.9,1.3,1.3,2.5,2.6,2.5,2.6,0.5115,0.0173,0.0346,0.0092,0.034,57.6,7.7,8.3,14.9,17.3,14.7,16.9,0.3483,0.0821,0.0943,0.162,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,61.7,-21.33948277255609,-2.8,2.6,2.7,-3.6,2.7,2.8,2.8,-2.8,2.4,2.3,-0.2,2.7,2.5,-1.9,-1.9,2.6,2.5
MDE2_176,3,92.2,-9.85,-8.266681003262642,1.0,1.3,1.4,2.6,2.8,2.6,2.8,0.4762,0.0175,0.035,0.0063,0.0345,75.2,9.1,9.9,17.5,20.6,17.3,20.3,0.2074,0.0727,0.0696,0.1433,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,80.5,-18.11668100326264,0.2,2.7,2.7,-0.6,2.8,2.8,2.8,-0.1,2.4,2.4,2.8,2.9,2.7,1.0,1.0,2.8,2.6
MDE2_86.9,3,87.9,-12.37,-7.713776801190705,-0.2,1.3,1.4,2.6,2.8,2.5,2.7,0.4991,0.0177,0.0354,0.0144,0.0348,63.5,8.3,9.0,16.0,18.7,15.8,18.4,0.1891,0.0733,0.1383,0.1446,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,68.0,-20.083776801190705,-1.1,2.8,2.7,-1.9,2.8,2.8,2.8,-1.1,2.4,2.5,1.6,2.7,2.7,-0.2,-0.2,2.7,2.5
MDE_292.5,7,85.5,-5.46,-6.418597798329473,-0.7,1.1,1.0,2.1,2.1,2.1,2.1,0.5009,0.0131,0.0262,0.0264,0.0257,62.6,6.2,6.5,12.0,13.4,11.8,13.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,67.1,-11.878597798329473,0.1,2.0,2.0,-0.7,2.1,2.1,2.1,0.1,1.8,1.8,2.7,2.1,1.9,1.0,1.0,2.0,1.9
MDE_293.4,5,91.7,-8.48,-6.602899199020116,-1.2,1.2,1.2,2.4,2.4,2.4,2.3,0.5052,0.0149,0.0298,0.0135,0.0293,60.5,6.9,7.3,13.3,15.1,13.1,14.9,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,64.9,-15.082899199020115,-0.4,2.3,2.3,-1.2,2.3,2.4,2.4,-0.4,2.0,2.1,2.2,2.3,2.2,0.5,0.5,2.2,2.2
MDE_71_A,3,100.8,4.35,-8.00940988850136,3.6,1.5,1.4,2.9,2.9,2.9,2.8,0.4278,0.0179,0.0358,0.0302,0.0352,104.7,11.8,13.0,22.5,27.4,22.2,26.9,0.2307,0.048,0.0333,0.0946,Dolomite,,,,,,,,,,Oman,Oman_DL,CementBurial,112.3,-3.6594098885013597,4.2,2.8,2.7,3.6,2.8,2.9,2.9,3.6,2.4,2.5,7.1,3.2,3.0,5.2,5.2,3.1,2.9
MDE_71_B,3,98.0,3.44,-7.912409151295755,-0.3,1.4,1.4,2.9,2.8,2.8,2.8,0.4773,0.0177,0.0354,0.0347,0.0348,74.6,9.1,9.9,17.6,20.8,17.3,20.4,0.4215,0.0716,0.2282,0.1413,Dolomite,,,,,,,,,,Oman,Oman_DL,CementBurial,79.9,-4.472409151295755,0.4,2.8,2.7,-0.3,2.8,2.8,2.8,0.2,2.4,2.4,3.1,2.9,2.7,1.3,1.3,2.8,2.6
MDE_78_A,3,92.9,0.52,-7.728107750605112,0.4,1.4,1.4,2.8,2.8,2.7,2.8,0.4703,0.0174,0.0348,0.0056,0.0342,78.4,9.3,10.1,17.9,21.1,17.6,20.7,0.2308,0.048,0.0306,0.0948,Dolomite,,,,,,,,,,Oman,Oman_DL,CementBurial,84.0,-7.208107750605112,1.2,2.7,2.7,0.4,2.8,2.7,2.7,0.9,2.4,2.4,3.8,2.9,2.7,2.0,2.0,2.8,2.6
MDE_78_B,3,90.2,4.03,-8.174311141750886,1.6,1.4,1.4,2.9,2.9,2.8,2.8,0.45,0.0178,0.0356,0.0162,0.0349,90.3,10.5,11.4,20.1,24.0,19.7,23.5,0.2391,0.0481,0.0943,0.0949,Dolomite,,,,,,,,,,Oman,Oman_DL,CementBurial,96.7,-4.144311141750886,2.3,2.8,2.7,1.6,2.8,2.8,2.8,1.8,2.5,2.4,5.1,3.0,2.9,3.2,3.2,2.9,2.8
MDE_BKFF_A,3,94.3,-5.95,-8.460682477673846,-5.1,1.2,1.3,2.4,2.6,2.3,2.5,0.5563,0.0178,0.0356,0.0065,0.035,38.6,6.7,7.1,12.9,14.8,12.7,14.5,0.2909,0.0775,0.0657,0.1529,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,41.7,-14.410682477673845,-6.3,2.8,2.7,-7.2,2.8,2.8,2.8,-5.9,2.5,2.4,-3.5,2.6,2.4,-5.1,-5.1,2.5,2.3
MDE_BKFF_B1,3,96.3,-6.93,-9.789592577390605,-9.0,1.2,1.2,2.4,2.4,2.4,2.4,0.5954,0.0182,0.0364,0.0095,0.0357,24.5,6.0,6.3,11.6,13.1,11.4,12.8,0.3041,0.0794,0.0839,0.1567,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,26.9,-16.719592577390607,-10.6,2.7,2.8,-11.6,2.8,2.9,2.9,-9.9,2.5,2.5,-7.5,2.5,2.4,-9.0,-9.0,2.4,2.4
MDE_BKFF_B2,3,102.8,-8.48,-10.429797442947583,-8.0,1.2,1.3,2.4,2.5,2.3,2.5,0.57,0.0181,0.0362,0.0166,0.0355,33.4,6.5,6.9,12.5,14.3,12.3,14.0,0.2364,0.0731,0.1666,0.1443,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,36.3,-18.909797442947585,-9.3,2.8,2.8,-10.2,2.8,2.9,2.9,-8.8,2.5,2.4,-6.4,2.6,2.4,-8.0,-8.0,2.5,2.3
MDS_200,3,82.7,-7.92,-7.597375916543981,0.5,1.3,1.3,2.6,2.6,2.5,2.6,0.4921,0.0171,0.0342,0.0068,0.0336,66.9,8.3,8.9,16.0,18.6,15.7,18.3,0.1806,0.0733,0.0933,0.1447,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,71.7,-15.51737591654398,-0.4,2.6,2.6,-1.2,2.7,2.7,2.7,-0.5,2.3,2.4,2.2,2.7,2.5,0.5,0.5,2.6,2.5
MDS_211.5,4,94.9,-7.65,-7.820477612116868,0.5,1.1,1.2,2.3,2.3,2.2,2.3,0.4887,0.015,0.03,0.0251,0.0295,68.6,7.4,7.9,14.4,16.4,14.1,16.1,0.1924,0.0631,0.0596,0.1246,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,73.5,-15.470477612116868,-0.4,2.4,2.3,-1.1,2.3,2.4,2.4,-0.5,2.0,2.1,2.3,2.4,2.3,0.5,0.5,2.3,2.2
MDS_220.5,6,88.4,-5.86,-7.219073041442133,6.1,1.0,1.1,2.0,2.2,2.0,2.1,0.4265,0.0122,0.0244,0.0555,0.024,105.6,8.2,8.8,15.9,18.2,15.7,17.9,0.1845,0.0523,0.1777,0.1031,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,113.3,-13.079073041442133,5.1,1.9,1.9,4.5,1.9,2.0,2.0,4.5,1.6,1.7,8.1,2.1,2.1,6.1,6.1,2.1,2.0
MDS_5.0,6,93.3,-9.84,-8.51888291999721,5.1,1.0,1.1,2.1,2.2,2.0,2.1,0.4232,0.0123,0.0246,0.0232,0.0241,108.0,8.4,9.0,16.3,18.7,16.0,18.3,0.2338,0.052,0.0369,0.1026,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,115.8,-18.35888291999721,4.1,1.9,1.9,3.4,2.0,1.9,1.9,3.4,1.7,1.7,7.0,2.2,2.1,5.1,5.1,2.1,2.0
MERCK,3,104.9,-42.02,-15.444735556477244,-9.9,1.4,1.5,2.8,3.0,2.8,3.0,0.5252,0.0203,0.0406,0.0035,0.0399,51.4,8.5,9.3,16.4,19.4,16.2,19.0,,,,,Calcite,Synthetic_or_standard,,,n,Standard,,,MERCK,,Standard,,,55.2,-57.46473555647725,-10.9,3.1,3.1,-11.7,3.2,3.2,3.2,-10.7,2.7,2.8,-8.2,3.0,2.9,-9.9,-9.9,3.0,2.8
NCM,10,,2.06,-1.563930062355494,25.2,1.5,1.6,2.9,3.3,2.9,3.2,0.2935,0.0128,0.0256,0.0944,0.025,256.3,22.7,26.1,42.8,56.5,41.9,54.9,,,,,Calcite,,,,,,,,,,Standard,,,283.7,0.49606993764450613,21.4,2.0,2.0,21.0,2.1,2.0,2.0,19.6,1.8,1.8,27.6,3.3,3.0,25.2,25.2,3.2,2.9
NRT_3_A,3,99.8,2.03,-2.9265712589277726,-1.3,1.5,1.4,2.9,2.8,2.8,2.8,0.5525,0.0178,0.0356,0.0929,0.035,40.1,6.8,7.2,13.1,15.0,12.9,14.7,0.5045,0.1093,0.2405,0.2156,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,43.3,-0.8965712589277728,-0.4,2.7,2.8,-1.3,2.8,2.8,2.8,-0.0,2.4,2.5,2.4,2.6,2.5,0.8,0.8,2.5,2.4
NRT_3_B,3,93.0,2.55,6.317598996766171,7.4,1.5,1.6,3.0,3.1,3.0,3.0,0.5583,0.0189,0.0378,0.0215,0.0371,37.8,7.0,7.5,13.6,15.6,13.4,15.3,0.2857,0.0843,0.1333,0.1664,Dolomite,,,,,,,,,,Oman,Oman_DL,Cement,40.9,8.867598996766171,8.4,2.9,3.0,7.4,3.0,3.0,3.0,8.8,2.6,2.6,11.3,2.7,2.7,9.6,9.6,2.7,2.5
NRT_3_C,3,82.2,1.41,-2.20876580360631,1.5,1.4,1.4,2.9,2.9,2.8,2.8,0.5261,0.0178,0.0356,0.0055,0.0349,51.0,7.5,8.0,14.5,16.7,14.2,16.4,0.3207,0.0802,0.0578,0.1583,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,54.8,-0.7987658036063101,2.4,2.7,2.8,1.5,2.8,2.8,2.8,2.5,2.5,2.4,5.1,2.6,2.6,3.4,3.4,2.6,2.5
PK99_KT3A,4,85.6,-3.39,-6.408897724608915,-0.4,1.2,1.2,2.5,2.5,2.4,2.4,0.4971,0.0154,0.0308,0.0148,0.0303,64.4,7.3,7.8,14.2,16.3,14.0,16.0,,,,,Dolomite,,,,,,,,,,Burkina Faso,Volta_DL,Pendjari,69.0,-9.798897724608915,0.4,2.4,2.4,-0.4,2.4,2.4,2.4,0.3,2.1,2.1,3.0,2.5,2.3,1.3,1.3,2.3,2.3
PK99_KT4C_A,4,87.8,-3.4,-6.292496839962187,0.9,1.2,1.2,2.5,2.5,2.4,2.4,0.4826,0.0153,0.0306,0.0109,0.0301,71.8,7.8,8.3,15.0,17.3,14.8,17.0,,,,,Dolomite,,,,,,,,,,Burkina Faso,Volta_DL,Pendjari,76.9,-9.692496839962187,1.7,2.3,2.4,0.9,2.4,2.4,2.4,1.5,2.1,2.1,4.3,2.5,2.4,2.5,2.5,2.4,2.3
PK99_KT4C_B,4,87.4,-3.3,-6.311896987403311,-0.1,1.2,1.2,2.5,2.5,2.4,2.4,0.4945,0.0154,0.0308,0.0104,0.0302,65.7,7.4,7.9,14.4,16.5,14.1,16.1,,,,,Dolomite,,,,,,,,,,Burkina Faso,Volta_DL,Pendjari,70.4,-9.61189698740331,0.7,2.4,2.4,-0.1,2.4,2.4,2.4,0.6,2.1,2.1,3.3,2.5,2.3,1.6,1.6,2.3,2.3
RM_4_A,2,97.0,-9.05,-8.20848056093928,-4.9,1.4,1.4,2.8,2.9,2.7,2.9,0.5574,0.0205,0.041,0.0215,0.0403,38.2,7.6,8.2,14.7,17.1,14.5,16.8,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Miocene,41.3,-17.258480560939283,-6.1,3.1,3.1,-7.0,3.2,3.2,3.2,-5.7,2.8,2.8,-3.3,3.0,2.8,-4.9,-4.9,2.9,2.7
RM_4_B,2,73.4,-6.61,-9.314288965083152,-7.1,1.4,1.4,2.7,2.9,2.7,2.8,0.5735,0.0206,0.0412,0.007,0.0404,32.1,7.2,7.8,14.0,16.2,13.7,15.9,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Miocene,34.9,-15.924288965083154,-8.5,3.2,3.1,-9.4,3.2,3.2,3.2,-7.9,2.8,2.8,-5.5,2.9,2.8,-7.1,-7.1,2.8,2.7
RM_4_C,2,88.4,-6.09,-8.169680266057037,-6.4,1.3,1.4,2.7,2.9,2.6,2.8,0.5796,0.0206,0.0412,0.0124,0.0405,30.0,7.1,7.6,13.7,15.8,13.5,15.5,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Miocene,32.6,-14.259680266057037,-7.8,3.2,3.1,-8.8,3.3,3.2,3.2,-7.2,2.8,2.8,-4.8,2.9,2.8,-6.4,-6.4,2.8,2.6
SB1_102_A,3,53.7,3.03,3.0583742266579192,5.6,1.4,1.4,2.8,2.8,2.8,2.8,0.5408,0.0174,0.0348,0.0294,0.0342,44.8,6.9,7.4,13.4,15.3,13.2,15.1,0.4832,0.0781,0.0303,0.1541,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,48.2,6.088374226657919,6.5,2.7,2.7,5.6,2.8,2.8,2.8,6.8,2.4,2.4,9.3,2.6,2.5,7.6,7.6,2.5,2.4
SB1_119_A,3,57.0,3.32,-0.13295002740641754,2.2,1.4,1.4,2.8,2.7,2.7,2.7,0.5435,0.0171,0.0342,0.0435,0.0337,43.7,6.7,7.2,13.1,14.9,12.9,14.7,0.218,0.0498,0.0553,0.0982,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,47.1,3.187049972593582,3.1,2.6,2.7,2.2,2.7,2.7,2.7,3.4,2.4,2.4,5.8,2.6,2.4,4.2,4.2,2.5,2.4
SB1_192_A,1,80.8,3.4,-0.7343545980811521,5.0,2.4,2.3,4.7,4.6,4.6,4.5,0.5016,0.0288,0.0576,,0.0565,62.2,13.1,14.8,24.8,31.8,24.3,31.1,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,66.7,2.665645401918848,5.8,4.4,4.5,5.0,4.5,4.6,4.6,5.7,4.0,3.9,8.4,4.6,4.2,6.7,6.7,4.4,4.1
SB1_41_A,3,48.8,3.88,0.41995417466551843,3.5,1.4,1.4,2.7,2.7,2.7,2.7,0.534,0.017,0.034,0.0106,0.0335,47.6,6.9,7.4,13.5,15.4,13.3,15.1,0.3426,0.057,0.0541,0.1124,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,51.2,4.299954174665518,4.4,2.6,2.7,3.5,2.7,2.7,2.7,4.6,2.4,2.3,7.1,2.6,2.4,5.4,5.4,2.5,2.3
