Sample,N,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SE_2,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,D48_SD,D48_95_CL,Mineralogy,Type,Form_T,err_Form_T,Calibration,Author,ordering_ratio,Mg,alt_Sample,Counter,Location,Country_Min,Formation,T_Petersen,d47_VPDB,d18Ow_VSMOW_MK77,d18Ow_VSMOW_MK77_upper,d18Ow_VSMOW_MK77_lower,d18Ow_VSMOW_H14,d18Ow_VSMOW_H14_upper,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_V05,d18Ow_VSMOW_V05_upper,d18Ow_VSMOW_V05_lower,d18Ow_VSMOW_KON97,d18Ow_VSMOW_KON97_upper,d18Ow_VSMOW_KON97_lower,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21_upper,d18Ow_VSMOW_A21_lower
BDK_A,3,94.1,-6.09,-8.412182109071043,-6.5,1.2,1.2,2.3,2.4,2.2,2.3,0.5781,0.0172,0.0344,0.0071,0.0338,30.5,6.0,6.4,11.6,13.1,11.4,12.9,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,33.2,-14.502182109071043,-7.9,2.6,2.6,-8.9,2.7,2.7,2.7,-7.3,2.3,2.4,-4.9,2.4,2.3,-6.5,-6.5,2.3,2.2
BDK_B,3,85.8,-0.46,-5.230557928727272,-3.2,1.2,1.1,2.3,2.4,2.3,2.3,0.5768,0.0172,0.0344,0.0197,0.0339,31.0,6.0,6.4,11.7,13.2,11.5,13.0,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,33.7,-5.690557928727272,-4.6,2.6,2.7,-5.6,2.7,2.7,2.7,-4.0,2.3,2.4,-1.7,2.5,2.3,-3.2,-3.2,2.3,2.3
CYC15-022B C,2,96.8,3.17,5.52682382737407,2.6,1.5,1.5,3.0,3.1,2.9,3.0,0.6524,0.0241,0.0482,0.0402,0.0473,6.9,6.5,7.0,12.6,14.6,12.4,14.3,,,,,Calcite,,,,,,,,,,Chile,,,8.6,8.69682382737407,0.2,3.7,3.7,-0.9,3.8,3.8,3.8,1.4,3.3,3.3,4.0,3.2,3.0,2.6,2.6,3.0,2.9
CYC15-025B A,2,95.3,3.17,4.139713285333951,0.3,1.5,1.5,2.9,3.0,2.9,3.0,0.6673,0.0241,0.0482,0.0197,0.0473,2.8,6.3,6.7,12.1,13.9,11.9,13.7,,,,,Calcite,,,,,,,,,,Chile,,,4.4,7.309713285333951,-2.3,3.7,3.7,-3.5,3.8,3.8,3.8,-1.0,3.3,3.3,1.7,3.1,3.0,0.3,0.3,3.0,2.9
CYC15-025B B,2,94.6,2.92,3.63530945186482,-0.8,1.5,1.5,2.9,3.0,2.9,2.9,0.677,0.0241,0.0482,0.0031,0.0474,0.3,6.1,6.5,11.8,13.5,11.6,13.3,,,,,Calcite,,,,,,,,,,Chile,,,1.7,6.5553094518648205,-3.6,3.7,3.7,-4.8,3.8,3.7,3.7,-2.2,3.3,3.3,0.6,3.0,3.0,-0.8,-0.8,2.9,2.9
CYC15-045B B,1,96.3,2.84,0.44398519780048346,-2.3,1.9,2.0,3.8,4.1,3.7,4.0,0.6492,0.0311,0.0622,,0.0611,7.8,8.4,9.3,16.1,19.5,15.9,19.1,,,,,Calcite,,,,,,,,,,Chile,,,9.6,3.2839851978004835,-4.6,4.8,4.8,-5.7,4.9,4.9,4.9,-3.4,4.2,4.3,-0.8,4.0,3.9,-2.3,-2.3,4.0,3.7
CYC16-045B A,1,69.9,2.31,3.625609378144255,-0.3,1.9,2.0,3.8,4.0,3.7,3.9,0.6685,0.0314,0.0628,,0.0618,2.5,8.0,8.8,15.4,18.5,15.2,18.2,,,,,Calcite,,,,,,,,,,Chile,,,4.0,5.935609378144255,-3.0,4.9,4.8,-4.1,5.0,4.9,4.9,-1.6,4.3,4.3,1.1,4.1,3.8,-0.3,-0.3,3.9,3.7
CYC16-045B B,1,100.1,2.86,0.5312858612855292,-2.9,1.9,2.0,3.7,4.0,3.7,3.9,0.6604,0.0312,0.0624,,0.0613,4.7,8.2,9.0,15.7,18.9,15.4,18.5,,,,,Calcite,,,,,,,,,,Chile,,,6.3,3.391285861285529,-5.4,4.8,4.7,-6.5,4.9,4.9,4.9,-4.1,4.3,4.3,-1.5,4.1,3.8,-2.9,-2.9,3.9,3.7
CYC17-49B A,1,97.6,5.98,2.558601268882623,2.7,2.1,2.1,4.0,4.2,3.9,4.2,0.6051,0.0311,0.0622,,0.0612,21.3,9.7,10.7,18.4,22.7,18.1,22.3,,,,,Calcite,,,,,,,,,,Chile,,,23.5,8.538601268882623,0.9,4.9,4.7,-0.1,5.0,4.9,4.9,1.8,4.3,4.3,4.2,4.3,4.0,2.7,2.7,4.2,3.9
CYC17-49B B,1,94.1,6.09,2.519800974000383,-3.0,1.8,2.0,3.7,4.0,3.6,3.9,0.694,0.0319,0.0638,,0.0627,-4.1,7.6,8.3,14.6,17.5,14.4,17.1,,,,,Calcite,,,,,,,,,,Chile,,,-2.8,8.609800974000382,-6.0,4.8,4.9,-7.2,5.0,5.0,5.0,-4.5,4.4,4.3,-1.6,4.0,3.8,-3.0,-3.0,3.9,3.6
