UID,Session,Sample,d45,d46,d47,d48,d49
20828,20231030,BD1_15.5_C,2.928270,9.272752,11.941750,18.472039,25.065687
20818,20231030,MDS_220.5,-2.954644,5.803419,2.379333,11.604428,16.785438
20811,20231030,IAEA-C2,-4.971825,4.227944,-1.097634,8.419860,11.305722
20841,20231030,ETH-4,-7.415582,-5.594095,-13.407735,-11.295518,-3.332787
20832,20231030,ETH-4,-7.422483,-5.637541,-13.475422,-11.317339,-10.449687
20833,20231030,WS_2.6,-7.235399,4.658345,-3.222029,9.166054,4.060663
20838,20231030,MD6_S,-9.449278,4.586848,-5.522508,9.066398,11.808498
20826,20231030,ETH-3,4.338886,11.635075,15.805105,23.157043,27.799580
20808,20231030,ETH-3,4.356071,11.679139,15.935210,23.461834,46.775484
20815,20231030,NRT_3_A,4.716654,11.407727,15.890585,22.863949,28.553843
20856,20231030,IAEA-C1,5.002833,11.045897,15.610458,21.957875,18.423524
20845,20231030,MDS_200,-4.804062,5.455171,0.105639,10.775103,11.506326
20829,20231030,MDS_200,-4.832624,5.448940,0.079235,10.810239,15.350464
20825,20231030,NRT_3_C,4.220711,12.028913,16.002784,24.024943,32.112140
20835,20231030,ETH-3,4.345805,11.668752,15.842622,23.343200,24.067993
20852,20231030,ETH-4,-7.412219,-5.597765,-13.401174,-11.122563,-4.785497
20853,20231030,MDS_200,-4.823573,5.500837,0.142263,10.801503,10.133991
20857,20231030,ETH-1,4.610440,11.137666,15.188629,22.129651,22.132956
20846,20231030,ETH-2,-7.237991,-5.391342,-13.237664,-10.800993,-7.222432
20821,20231030,ETH-3,4.363985,11.686318,15.888607,23.356523,34.135299
20812,20231030,IAEA-C1,5.012558,11.035186,15.614907,21.973002,26.937530
20848,20231030,WS_7.7_A,-6.967087,4.542595,-3.014136,9.052829,9.844831
20816,20231030,ETH-2,-7.259400,-5.416238,-13.301073,-10.832918,0.773422
20824,20231030,WS_7.7_B,-6.983467,4.795130,-2.833809,9.450459,9.810784
3537,20171216,ETH-3,5.436288,12.363665,17.723142,24.588644,25.997967
3536,20171216,ETH-2,-6.259902,-4.842310,-11.743068,-9.409544,-3.598119
6046,20180618,ETH-2,-6.750101,-3.888372,-11.552414,-8.028156,-69.644053
6002,20180618,ETH-1,5.175538,12.221151,16.616172,24.227691,-34.784806
6007,20180618,KG92_94,1.891830,9.230560,10.486307,18.129320,-45.339593
6038,20180618,G3_129_f_A,8.221497,11.184428,18.984349,22.174761,-26.959068
6014,20180618,88_WI_68_B,7.382827,6.826823,13.789809,13.529308,-36.457525
6035,20180618,ETH-2,-6.820101,-4.443787,-12.132676,-9.106979,-62.454572
6030,20180618,ETH-3,4.890514,12.790902,17.253367,25.404469,-33.396799
6029,20180618,KG92_91,1.928627,9.537797,10.838917,18.823394,-30.034743
6024,20180618,88_WI_68_B,7.323489,6.715385,13.594602,13.323012,-47.196685
6008,20180618,PK99_KT4C_B,0.119310,9.110122,8.556807,18.021559,-34.442600
6028,20180618,G3_129_f_A,8.218438,11.132226,18.961461,22.063194,-23.225733
6016,20180618,ETH-2,-6.800101,-4.471320,-12.147461,-9.203290,-71.596504
6021,20180618,ETH-3,4.881265,12.728222,17.209812,25.357301,-25.480113
6039,20180618,KG92_94,1.841969,9.162087,10.371422,18.101438,-37.046744
6009,20180618,88KL_100,4.690896,5.862361,10.026168,11.518573,-45.121732
6017,20180618,PK99_KT4C_A,-0.000149,9.086686,8.388076,18.009066,-41.831826
6044,20180618,PK99_KT3A,-0.029130,8.978609,8.277949,17.901370,-37.950167
6018,20180618,KG92_91,1.952284,9.548030,10.877879,18.859332,-33.237994
6026,20180618,ETH-1,5.147166,12.190717,16.556338,24.096874,-29.795396
6005,20180618,ETH-2,-6.794544,-4.463359,-12.153703,-9.125178,-74.593036
6019,20180618,PK99_KT4C_A,-0.026756,9.059214,8.345979,17.982998,-35.095974
6033,20180618,PK99_KT3A,-0.007699,8.987770,8.302345,17.748912,-36.020592
6011,20180618,ETH-4,-6.861895,-4.528910,-12.067889,-9.266981,-68.786324
6041,20180618,ETH-1,5.114913,12.145691,16.472255,24.112458,-31.748988
6023,20180618,KG92_94,1.869788,9.202129,10.431630,18.177055,-29.471236
6031,20180618,ETH-3,4.887210,12.776836,17.235346,25.462385,-27.872942
6006,20180618,IAEA-C1,5.569687,12.130073,17.021002,23.911561,-31.557821
6003,20180618,ETH-4,-6.868928,-4.545937,-12.082868,-9.200273,-69.002743
6025,20180618,ETH-2,-6.839357,-4.525946,-12.248910,-9.280487,-59.528705
6022,20180618,88KL_100,4.681120,5.850569,10.013926,11.700963,-36.833360
6020,20180618,ETH-4,-6.892002,-4.609205,-12.170641,-9.362663,-67.522004
6037,20180618,88KL_100,4.660351,5.858748,9.995358,11.738371,-41.099235
6034,20180618,PK99_KT4C_A,-0.029710,9.097803,8.382258,17.945625,-38.133521
6004,20180618,ETH-3,4.896684,12.754587,17.242815,25.302202,-29.854790
6015,20180618,ETH-1,5.197142,12.266648,16.674965,24.270855,-39.529585
6045,20180618,ETH-4,-6.887001,-4.510518,-12.056155,-9.142639,-67.595094
6036,20180618,ETH-4,-6.908102,-4.556251,-12.100015,-9.320454,-65.628018
6032,20180618,IAEA-C2,-4.631103,5.339794,0.069066,10.407356,-40.767882
6040,20180618,ETH-3,4.853294,12.754261,17.188289,25.439175,-30.183209
6042,20180618,88_WI_68_B,7.318834,6.742864,13.621523,13.349497,-39.296601
6010,20180618,ETH-3,4.916480,12.812115,17.294107,25.454334,-33.420632
6047,20180618,KG92_91,1.942254,9.544403,10.862916,18.871121,-35.192793
6013,20180618,G3_129_f_A,8.282234,11.292842,19.163463,22.420278,-37.435456
6043,20180618,PK99_KT4C_B,0.061853,9.056162,8.442921,17.866718,-35.053103
6027,20180618,PK99_KT4C_B,0.014796,8.931309,8.252274,17.656396,-44.516148
6012,20180618,PK99_KT3A,0.017929,9.009284,8.360714,17.753170,-41.958202
19290,20230210,KDW2_69.9_A,5.940163,9.034393,14.662887,17.984283,24.240016
19318,20230210,TH_KB3_A,4.786326,14.658588,19.000099,29.245078,35.121087
19284,20230210,KDW2_107.3_A_A,5.296905,11.710642,16.676571,23.404854,42.242080
19322,20230210,ETH-1,4.703491,11.200916,15.225615,22.232180,29.442495
19277,20230210,IAEA-C1,5.093516,11.058672,15.606805,22.006534,36.761471
19300,20230210,IAEA-C2,-4.900318,4.171445,-1.209919,8.405464,19.739474
19287,20230210,ETH-1,4.701960,11.168186,15.208136,22.232833,35.575972
19310,20230210,KDW2_66.5_A,4.543411,10.465520,14.642563,20.873382,31.855585
