23	29	28	28	36	29	29	30	33	28	35	21	36	33	23	25	33	25	32	34	36	29	32	34	24	23	38	36	28	32	22	25	35	45	30	22	32	31	32	28	38	32	29	25	30	33	26	34	27	35	36	35	23	30	21	36	33	28	36	28	23	38	35	22	31	26	42	34	24	32	29	29	21	27	25	38	30	36	16	27	21	34	21	36	27	18	37	33	32	22	23	35	25	30	27	36	25	31	36	33	36	33	35	36	28	28	26	26	29	34	26	34	27	35	23	31	23	19	26	47	42	24	14	21	36	26	25	18	33	29	33	28	43	33	25	35	29	23	33	17	35	40	33	22	24	31	22	16	29	31	27	27	26	37	24	38	28	41	29	23	19	26	35	36	37	18	31	27	25	27	31	21	36	35	32	24	29	31	29	41	32	26	29	28	36	36	28	26	29	40	25	27	27	42	31	27	32	42	28	35	36	31	37	34	31	40	27	30	33	31	45	27	21	38	38	33	36	33	37	30	29	38	31	39	33	27	24	28	33	25	41	30	32	20	37	23	31	39	35	27	37	28	28	41	35	22	33	25	31	21
30	25	17	27	32	33	31	38	30	33	35	21	36	29	30	25	32	32	32	26	25	28	25	30	28	26	28	22	27	42	28	29	32	27	28	33	36	25	23	36	25	28	25	30	33	27	28	27	31	36	19	25	26	28	42	34	28	38	34	43	27	33	27	29	19	36	38	30	21	35	22	40	37	31	29	29	23	30	32	23	21	39	33	32	23	41	30	31	34	30	29	30	25	29	25	34	37	25	19	29	29	28	36	23	26	37	30	40	39	21	34	31	22	28	19	35	17	19	22	35	33	23	18	32	26	39	32	21	38	30	20	28	30	30	33	43	38	20	29	33	29	29	41	34	34	30	33	28	35	26	25	32	35	32	37	33	37	29	22	23	26	17	27	17	34	21	37	38	26	39	41	29	21	27	33	21	34	24	33	20	39	25	25	33	24	28	36	29	30	28	24	30	33	40	23	23	30	28	19	20	33	29	17	27	27	26	23	34	29	32	33	27	33	33	24	30	30	28	32	32	23	31	31	33	23	34	40	25	33	35	32	27	34	26	29	28	27	30	36	27	27	38	34	37	31	40	33	31	33	23
34	27	44	26	28	52	40	31	37	34	29	29	30	26	28	21	29	23	21	24	31	26	38	41	20	36	28	31	32	27	25	16	26	31	45	31	37	33	49	25	35	38	29	34	36	34	26	33	35	21	28	32	32	29	26	36	36	33	44	29	25	35	28	18	34	32	37	23	38	31	27	28	36	35	25	39	29	26	30	26	33	30	31	34	39	36	34	32	35	34	28	28	29	25	28	28	32	22	47	50	30	38	34	24	27	20	24	26	33	32	33	29	24	32	33	27	26	32	22	34	29	19	22	26	35	32	29	44	27	22	22	28	27	34	28	30	29	33	30	27	31	36	26	37	28	36	33	37	29	30	21	37	32	23	26	25	25	28	52	32	22	16	39	31	28	33	27	26	42	34	33	33	33	31	24	19	34	27	40	27	32	29	24	29	27	27	23	26	40	25	25	44	25	25	36	27	28	32	38	30	26	33	33	33	35	31	39	26	40	28	26	24	25	23	25	33	29	34	28	29	31	27	25	37	43	29	29	26	16	19	23	37	34	29	35	23	42	30	30	36	27	40	25	33	27	25	28	29	35	29
27	23	32	34	34	28	28	31	26	28	32	34	27	32	38	32	37	37	32	12	42	21	27	27	36	28	27	35	23	29	29	39	29	35	38	25	35	35	25	27	25	32	27	32	28	28	27	22	32	30	26	32	34	30	35	33	32	37	29	20	25	26	36	33	34	36	29	27	43	27	42	28	30	39	28	26	34	44	31	31	39	31	32	24	37	29	21	38	32	36	37	30	38	32	35	32	26	31	29	23	26	29	35	30	24	43	24	39	24	34	32	22	23	30	29	24	39	42	34	28	37	25	32	31	31	21	32	25	31	31	33	24	31	30	36	27	35	31	28	27	29	34	30	23	33	32	24	18	39	26	38	31	36	22	32	34	32	32	23	28	17	26	32	22	26	22	37	25	38	28	23	37	32	43	34	27	33	25	27	25	30	32	35	25	39	38	30	30	28	31	32	35	31	39	24	31	24	28	25	25	24	32	24	41	34	34	31	34	26	35	35	33	35	24	18	27	33	29	28	32	26	17	31	28	19	8	29	22	12	11	28	6	2	35	22	19	33	29	39	33	40	39	34	37	26	33	29	34	23	33
28	28	37	37	26	24	22	31	31	24	29	27	27	27	37	26	27	29	35	27	23	23	25	21	26	29	31	34	27	36	24	33	27	30	33	34	30	21	27	32	28	27	40	34	41	24	27	30	28	24	27	34	42	22	28	30	32	27	38	34	33	26	39	35	34	26	31	18	32	34	36	29	28	31	28	35	25	35	29	22	25	37	32	28	30	35	37	35	39	34	27	28	26	23	48	34	35	35	29	43	30	22	36	22	28	27	23	28	30	28	32	36	34	32	31	26	27	28	35	32	41	30	33	28	42	28	27	25	27	25	40	19	37	36	31	32	34	29	22	31	32	34	28	32	28	37	31	27	37	27	38	33	41	41	34	18	32	25	20	33	21	29	34	29	43	33	30	37	37	30	22	14	23	31	37	29	24	18	34	37	29	35	37	49	34	34	21	40	31	32	34	37	32	28	31	40	31	30	36	29	33	26	23	33	31	34	26	34	31	27	30	30	28	32	25	41	22	39	36	30	38	29	28	35	27	9	29	23	27	5	1	2	2	10	12	24	15	16	28	25	25	36	23	31	41	36	36	29	32	27
23	37	27	26	36	35	26	35	22	29	32	39	30	25	31	31	29	23	34	37	35	29	37	29	28	27	38	32	30	28	36	36	28	28	25	29	24	29	35	29	36	36	38	29	31	42	30	34	30	27	30	24	34	29	37	28	26	23	39	30	20	28	24	32	23	32	27	36	28	27	29	31	27	29	32	30	33	30	42	31	30	31	33	26	29	31	33	25	25	26	35	37	38	36	43	28	43	26	26	32	24	33	25	33	27	35	48	34	41	28	33	28	23	26	40	33	38	28	42	27	32	30	21	28	22	33	40	30	26	30	30	31	21	40	31	23	22	24	30	34	38	32	25	34	37	31	29	34	28	38	34	29	38	23	32	29	33	26	29	33	26	26	23	34	17	21	18	12	19	23	7	9	23	35	34	26	27	26	25	31	32	22	22	18	27	32	33	25	29	33	37	26	27	50	35	33	38	22	28	33	33	31	31	35	25	34	23	20	41	39	35	34	39	40	37	37	29	23	24	41	25	32	41	31	21	24	17	28	24	22	2	0	12	25	6	8	7	26	22	27	28	14	32	37	39	31	29	37	31	16
38	28	25	40	33	33	33	31	28	36	33	34	25	38	33	34	30	23	26	28	24	28	34	27	31	25	35	37	27	22	34	37	30	32	29	37	28	26	29	19	24	35	22	25	37	36	28	30	36	26	33	31	31	35	26	30	29	22	34	32	34	32	22	32	28	39	33	25	35	34	34	33	42	30	27	20	27	25	17	34	27	29	31	30	33	36	41	37	33	34	30	41	32	25	35	33	37	20	24	27	45	30	29	41	31	26	29	28	32	32	31	27	32	27	24	22	32	39	27	35	28	49	40	31	35	37	30	15	37	28	33	23	43	24	35	25	35	28	38	39	23	34	30	31	39	35	33	36	27	29	31	38	35	28	31	25	19	21	25	27	26	31	23	31	25	22	17	24	29	24	32	24	29	25	35	43	30	26	32	34	32	36	33	29	34	38	35	24	30	37	35	31	25	25	34	33	36	34	30	26	35	29	27	37	31	29	33	33	32	34	39	41	41	22	38	23	27	34	33	45	26	32	30	25	31	22	20	16	2	2	0	3	15	24	23	8	17	16	21	25	30	17	33	39	29	30	28	19	31	22
38	40	33	22	31	33	21	37	25	27	31	27	38	35	28	22	31	32	24	33	24	25	31	38	34	41	29	32	34	27	40	40	35	34	29	23	24	27	29	25	38	20	34	26	34	23	36	43	31	30	28	37	36	24	37	34	26	31	32	43	25	33	30	32	25	28	41	30	25	31	30	24	39	37	32	42	26	29	29	47	28	28	36	33	30	24	29	25	21	25	26	35	34	29	32	30	40	23	36	31	28	31	26	24	18	22	29	29	25	21	31	28	36	20	31	40	35	37	30	43	34	30	30	27	22	30	30	34	23	35	19	29	34	29	36	31	28	36	46	33	29	36	30	28	29	40	30	38	36	36	42	37	31	29	36	28	33	18	31	27	26	29	29	33	30	30	37	26	32	35	34	29	23	16	27	19	29	32	36	28	35	41	20	36	31	37	27	39	28	35	27	34	23	25	25	22	37	38	35	47	34	41	36	34	28	23	34	16	30	27	25	28	29	31	21	30	25	27	21	21	22	29	21	31	23	17	28	21	16	11	1	4	3	3	17	28	12	25	17	26	27	12	32	26	13	20	22	18	26	26
41	27	28	19	24	29	37	24	27	42	29	38	33	36	40	30	36	24	34	22	42	31	33	30	30	29	30	35	31	34	25	21	27	27	42	24	23	27	35	23	35	30	26	31	30	32	35	32	32	28	33	26	27	22	34	31	28	19	35	40	28	38	30	19	30	35	28	27	32	36	28	29	32	35	39	25	35	24	31	30	28	24	40	31	18	35	27	24	34	35	34	31	33	27	27	40	32	35	39	31	24	29	32	34	35	28	24	40	41	32	28	23	31	37	40	27	28	21	28	36	42	22	31	31	31	27	24	23	24	21	37	36	47	31	27	35	26	26	36	36	26	29	30	29	25	32	29	34	39	32	28	27	32	37	34	29	29	36	22	33	27	30	40	26	33	30	22	24	26	21	27	35	21	16	24	35	28	33	34	28	26	31	36	29	26	34	22	36	30	25	33	20	33	35	22	23	27	36	29	31	31	29	37	34	33	30	19	24	29	23	27	27	33	31	29	25	27	22	16	19	25	19	23	37	35	20	35	33	27	25	12	3	1	4	18	31	17	22	21	23	27	19	22	18	10	24	11	15	22	27
41	27	26	28	29	33	28	17	30	22	28	25	31	29	39	41	18	21	35	33	24	23	37	28	28	30	34	27	30	33	32	43	33	38	34	33	20	32	24	27	28	33	31	32	33	34	25	23	35	31	29	32	31	30	28	34	28	28	22	38	24	32	31	28	36	30	30	33	27	25	32	41	25	37	29	31	38	40	33	31	35	32	31	21	43	32	41	22	38	36	26	29	24	34	40	28	43	34	31	46	29	35	39	32	25	30	42	27	50	33	27	28	33	28	34	25	35	34	35	29	46	27	29	31	29	25	37	33	30	32	41	32	26	21	27	35	25	31	30	32	31	30	38	32	20	41	28	22	37	33	29	30	31	36	27	52	28	23	38	27	31	23	37	38	37	19	30	30	30	31	27	39	25	40	29	16	26	36	33	31	20	33	40	37	46	25	38	26	30	38	27	41	30	26	32	34	29	29	43	41	25	24	30	31	30	21	39	35	29	27	31	42	24	30	27	40	29	32	27	30	16	26	31	33	26	32	43	29	34	42	32	16	27	22	22	28	15	14	20	27	26	26	31	28	21	9	15	22	38	33
