C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3700 ETH2.txt,ETH2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 6:03,440,35,4.49E-08,1.02E-10,CF,9.949,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.53E-08,1.07E-07,4.31E-08,4.16E-08,4.16E-08,4.16E-08,0.96,12/27/2017 6:03,-0.07,7418,8450,1.00E-03,45.795,20,0,-1.06E-13,-5.32E-14,-5.80E-14,-2.43E-14,1.15E-13,4.36E-12,27,29,71.26,2.28E-08,2.25E-08,1.18E-02,4.14E-03,4.77E-05,4.53E-06,6.57E-08,1.19E-02,4.16E-03,4.82E-05,4.58E-06,6.46E-08,-6.2229,-4.8059,-11.5457,-9.6194,18.0058,-9.779,0.002,0,60,-20.4109,0.004,0,60,-0.4377,-0.031,34.5448
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3701 ETH1.txt,ETH1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 7:25,443,36,4.81E-08,1.09E-10,CF,10.254,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.50E-08,1.07E-07,4.61E-08,4.45E-08,4.45E-08,4.45E-08,0.96,12/27/2017 7:24,-0.11,6994,8450,1.00E-03,45.797,20,0,-1.06E-13,-5.32E-14,-5.79E-14,-2.39E-14,1.15E-13,4.40E-12,28,30,71.26,2.39E-08,2.36E-08,1.20E-02,4.21E-03,4.91E-05,4.69E-06,6.92E-08,1.19E-02,4.16E-03,4.82E-05,4.58E-06,6.64E-08,5.6701,11.9073,17.1841,23.6512,44.2595,2.2935,0.002,0,60,-3.9681,0.002,0,60,-0.4381,-0.2979,14.1092
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3702 KDW2 131.8A.txt,KDW2 131.8A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 8:44,467,37,4.68E-08,1.00E-10,CF,10.437,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.45E-08,1.07E-07,4.49E-08,4.57E-08,4.57E-08,4.57E-08,0.96,12/27/2017 8:43,-0.06,6780,8449,1.00E-03,45.797,20,0,-1.05E-13,-5.31E-14,-5.79E-14,-2.35E-14,1.15E-13,4.43E-12,28,30,71.26,2.47E-08,2.45E-08,1.19E-02,4.20E-03,4.88E-05,4.66E-06,6.54E-08,1.19E-02,4.16E-03,4.82E-05,4.58E-06,6.28E-08,2.5942,9.5879,11.9995,19.3064,43.835,-0.8981,0.001,0,60,-6.2468,0.002,0,60,-0.1334,0.038,21.6046
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3703 KDW2 59.0.txt,KDW2 59.0,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 10:04,490,38,4.94E-08,1.01E-10,CF,11.261,1.00E-03,0,1.00E-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.40E-08,1.08E-07,4.74E-08,4.81E-08,4.77E-08,4.79E-08,0.96,12/27/2017 10:03,-0.43,6472,8449,1.00E-03,45.799,20,0,-1.05E-13,-5.32E-14,-5.78E-14,-2.34E-14,1.16E-13,4.50E-12,28,30,71.49,2.56E-08,2.52E-08,1.20E-02,4.21E-03,4.91E-05,4.68E-06,6.19E-08,1.19E-02,4.16E-03,4.82E-05,4.57E-06,5.97E-08,7.0807,11.2258,18.2848,22.5421,37.4116,3.817,0.007,0,60,-4.6426,0.01,0,60,-0.1375,-0.0348,7.2935
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3704 ETH4.txt,ETH4,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 11:25,449,39,4.54E-08,1.01E-10,CF,10.345,1.00E-03,0,1.00E-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.36E-08,1.07E-07,4.36E-08,4.21E-08,4.20E-08,4.21E-08,0.96,12/27/2017 11:24,-0.11,7078,8449,1.00E-03,45.799,20,0,-1.05E-13,-5.32E-14,-5.78E-14,-2.39E-14,1.16E-13,4.32E-12,27,29,71.49,2.30E-08,2.27E-08,1.18E-02,4.14E-03,4.77E-05,4.53E-06,5.91E-08,1.19E-02,4.16E-03,4.82E-05,4.57E-06,5.88E-08,-6.2947,-4.9501,-11.5175,-9.7539,6.088,-9.8503,0.002,0,60,-20.5527,0.004,0,60,-0.1922,0.123,22.8039
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3705 KDW2 64.8.txt,KDW2 64.8,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 12:46,530,40,2.88E-08,5.44E-11,CF,6.836,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,3.32E-08,1.07E-07,2.77E-08,4.81E-08,4.77E-08,4.79E-08,0.96,12/27/2017 12:45,-16.05,8397,8447,1.00E-03,45.804,20,0,-1.06E-13,-5.34E-14,-5.80E-14,-2.45E-14,1.13E-13,4.16E-12,26,29,71.49,1.87E-08,1.59E-08,1.20E-02,4.22E-03,4.92E-05,4.70E-06,6.79E-08,1.19E-02,4.16E-03,4.82E-05,4.57E-06,6.34E-08,6.1437,13.2092,19.4173,26.8854,70.6001,2.7525,0.009,0,60,-2.6862,0.018,0,60,0.0042,0.285,36.5406
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3706 KDW2 59.0.txt,KDW2 59.0,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 14:05,509,41,5.23E-08,1.03E-10,CF,11.23,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.28E-08,1.07E-07,5.02E-08,5.08E-08,5.08E-08,5.08E-08,0.96,12/27/2017 14:04,-0.04,6057,8447,1.00E-03,45.804,20,0,-1.06E-13,-5.34E-14,-5.79E-14,-2.41E-14,1.15E-13,4.30E-12,28,30,71.49,2.70E-08,2.66E-08,1.20E-02,4.21E-03,4.91E-05,4.67E-06,6.65E-08,1.19E-02,4.16E-03,4.82E-05,4.57E-06,6.32E-08,7.1064,11.2705,18.3651,22.5739,53.1517,3.8428,0.002,0,60,-4.5986,0.003,0,60,-0.1284,-0.092,22.4603
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3707 MDE 293.4.txt,MDE 293.4,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 15:26,461,42,4.41E-08,9.57E-11,CF,9.521,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.24E-08,1.07E-07,4.23E-08,4.09E-08,4.09E-08,4.09E-08,0.96,12/27/2017 15:26,-0.08,7036,8447,1.00E-03,45.802,20,0,-1.06E-13,-5.34E-14,-5.80E-14,-2.39E-14,1.15E-13,4.30E-12,29,29,71.49,2.23E-08,2.21E-08,1.19E-02,4.20E-03,4.84E-05,4.65E-06,6.44E-08,1.19E-02,4.16E-03,4.82E-05,4.58E-06,6.22E-08,-4.1932,8.3352,3.6961,16.7878,35.3495,-8.0733,0.002,1,60,-7.4664,0.002,1,60,-0.1488,0.0527,23.2745
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3708 MDE 292.5.txt,MDE 292.5,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 16:46,483,43,4.02E-08,8.33E-11,CF,8.636,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.21E-08,1.07E-07,3.86E-08,3.94E-08,3.91E-08,3.92E-08,0.96,12/27/2017 16:45,-0.35,7187,8443,1.00E-03,45.802,20,0,-1.06E-13,-5.34E-14,-5.80E-14,-2.40E-14,1.15E-13,4.27E-12,27,29,71.49,2.16E-08,2.14E-08,1.19E-02,4.20E-03,4.86E-05,4.65E-06,6.07E-08,1.19E-02,4.16E-03,4.82E-05,4.57E-06,5.85E-08,-1.388,8.5262,6.8333,17.1325,37.3918,-5.0966,0.002,0,60,-7.2843,0.002,0,60,-0.1151,0.0073,21.7153
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3709 KDW2 131.8A.txt,KDW2 131.8A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 18:05,504,44,5.06E-08,1.00E-10,CF,11.383,1.00E-03,0,1.00E-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.17E-08,1.07E-07,4.86E-08,4.93E-08,4.92E-08,4.92E-08,0.96,12/27/2017 18:04,-0.05,6041,8449,1.00E-03,45.799,20,0,-1.06E-13,-5.34E-14,-5.80E-14,-2.37E-14,1.16E-13,4.43E-12,28,30,71.49,2.61E-08,2.59E-08,1.19E-02,4.20E-03,4.88E-05,4.66E-06,6.03E-08,1.19E-02,4.16E-03,4.82E-05,4.57E-06,5.77E-08,2.5969,9.5278,11.9132,19.1151,46.6857,-0.8931,0.002,0,60,-6.306,0.002,0,60,-0.1629,-0.0306,24.5117
